;sc;HAM;BOT;VET;VER;LEC;GRO;MAG;NOR;RAI;PER;HUL;RIC;ALB;GIO;KVY;STR;GAS;SAI;RUS;KUB
0;0;2;1;3;4;5;7;6;10;9;12;8;20;11;16;15;13;17;14;18;19
1;0;2;1;3;4;5;7;6;10;9;12;8;20;11;17;15;13;16;14;18;19
2;0;2;1;3;4;5;7;6;10;9;12;8;20;11;17;15;13;16;14;18;19
3;0;2;1;3;4;5;7;6;10;9;12;8;19;11;17;15;13;16;14;18;20
4;0;2;1;3;4;5;7;6;10;9;12;8;19;11;17;15;13;16;14;18;20
5;0;2;1;3;4;5;7;6;10;9;12;8;19;11;17;15;13;16;14;18;20
6;0;2;1;3;4;5;7;6;10;9;12;8;19;11;17;15;13;16;14;18;20
7;0;2;1;3;4;5;7;6;10;9;12;8;19;11;17;15;13;16;14;18;20
8;0;2;1;3;4;5;7;6;10;9;12;8;19;11;17;15;13;16;14;18;20
9;0;2;1;3;4;5;7;6;10;9;12;8;18;11;16;14;13;15;ab;17;19
10;0;2;1;3;4;5;7;6;10;9;12;8;18;11;16;14;13;15;ab;17;19
11;0;2;1;3;4;5;7;6;9;16;11;8;18;10;15;13;12;14;ab;17;19
12;0;2;1;3;4;5;7;6;8;15;16;14;18;9;13;11;10;12;ab;17;19
13;0;2;1;5;3;4;6;11;7;14;17;13;18;15;12;9;8;10;ab;16;19
14;0;4;1;5;2;3;14;10;12;13;16;11;18;15;9;7;6;8;ab;17;19
15;0;4;1;5;2;3;14;10;13;12;16;11;18;15;9;7;6;8;ab;17;19
16;0;4;1;5;2;3;14;10;13;12;16;11;18;15;9;7;6;8;ab;17;19
17;0;4;1;5;2;3;14;9;13;12;16;11;18;15;10;7;6;8;ab;17;19
18;0;4;1;5;2;3;14;9;13;11;16;10;18;15;12;7;6;8;ab;17;19
19;0;4;1;5;2;3;14;9;13;11;16;10;18;15;12;7;6;8;ab;17;19
20;0;4;1;5;2;3;14;9;13;11;16;10;18;15;12;7;6;8;ab;17;19
21;0;4;1;5;2;3;14;9;13;11;16;10;18;15;12;7;6;8;ab;17;19
22;0;4;2;5;1;3;14;9;13;11;16;10;18;15;12;7;6;8;ab;17;19
23;0;4;2;5;1;3;14;9;13;11;16;10;18;15;12;7;6;8;ab;17;19
24;0;3;1;5;4;2;14;9;13;11;16;10;18;15;12;7;6;8;ab;17;19
25;0;3;1;4;5;2;13;8;12;10;15;9;17;16;14;11;6;7;ab;18;19
26;0;3;1;4;5;2;13;7;12;9;14;8;16;15;17;11;10;6;ab;18;19
27;0;2;1;3;4;5;13;7;12;9;14;8;16;15;17;11;10;6;ab;18;19
28;0;2;1;3;4;5;13;7;12;9;14;8;ab;15;16;11;10;6;ab;17;18
29;0;2;1;3;4;5;ab;7;12;9;13;8;ab;14;15;11;10;6;ab;16;17
30;0;2;1;4;3;5;ab;7;12;9;13;8;ab;14;15;11;10;6;ab;16;17
31;0;2;1;4;3;5;ab;7;12;9;13;8;ab;14;15;11;10;6;ab;16;17
32;0;2;1;4;3;5;ab;7;12;9;13;8;ab;14;15;11;10;6;ab;16;17
33;0;2;1;4;3;5;ab;7;12;9;13;8;ab;14;15;11;10;6;ab;16;17
34;0;2;1;4;3;5;ab;7;12;9;13;8;ab;14;15;11;10;6;ab;16;17
35;0;2;1;4;3;5;ab;7;12;9;13;8;ab;14;15;11;10;6;ab;16;17
36;0;2;1;4;3;5;ab;6;12;8;13;7;ab;14;15;11;9;10;ab;16;17
37;0;2;1;4;3;5;ab;6;12;8;13;7;ab;14;15;10;9;11;ab;16;17
38;0;2;1;4;3;5;ab;6;12;8;13;7;ab;14;15;10;9;11;ab;16;17
39;0;2;1;4;3;5;ab;6;12;8;13;7;ab;14;15;10;9;11;ab;16;17
40;0;2;1;4;3;5;ab;6;12;8;13;7;ab;14;15;10;9;11;ab;16;17
41;0;2;1;4;3;5;ab;6;12;8;13;7;ab;14;15;10;9;11;ab;16;17
42;0;2;1;4;3;5;ab;6;12;8;13;7;ab;14;15;10;9;11;ab;16;17
43;0;2;1;4;3;5;ab;6;12;8;13;7;ab;14;15;10;9;11;ab;16;17
44;0;2;1;4;3;5;ab;6;12;8;13;7;ab;14;15;10;9;11;ab;16;17
45;0;2;1;4;3;5;ab;6;12;8;13;7;ab;14;15;10;9;11;ab;16;17
46;0;2;1;4;3;5;ab;6;12;8;13;7;ab;14;15;10;9;11;ab;16;17
47;0;2;1;4;3;5;ab;6;12;8;13;7;ab;14;15;10;9;11;ab;16;17
48;0;2;1;4;3;5;ab;6;12;8;13;7;ab;14;15;10;9;11;ab;16;17
49;0;2;1;4;3;5;ab;6;12;8;13;7;ab;14;15;10;9;11;ab;16;17
50;0;2;1;4;3;5;ab;6;12;8;13;7;ab;14;15;10;9;11;ab;16;17
51;0;2;1;4;3;5;ab;6;12;8;13;7;ab;14;15;10;9;11;ab;16;17
52;0;2;1;4;3;5;ab;6;12;8;13;7;ab;14;15;10;9;11;ab;16;17
53;0;2;1;4;3;5;ab;6;12;8;13;7;ab;14;15;10;9;11;ab;16;17
54;0;2;1;4;3;5;ab;6;12;8;13;7;ab;14;15;10;9;11;ab;16;17
55;0;2;1;4;3;5;ab;6;12;8;13;7;ab;14;15;10;9;11;ab;16;17
56;0;2;1;4;3;5;ab;6;12;8;13;7;ab;14;15;10;9;11;ab;16;17
57;0;2;1;4;3;5;ab;6;12;8;13;7;ab;14;15;10;9;11;ab;16;17
