;sc;HAK;MSC;COU;BAR;RSC;FRE;IRV;TRU;VIL;DIN;WUR;SAL;DLR;ZON;ALE;VER;HER;BUT;FIS;MAZ;GEN;HEI
0;0;1;2;4;3;9;7;8;6;5;13;16;10;14;12;15;11;19;17;20;21;18;22
1;0;1;2;4;3;9;7;8;6;5;13;16;10;14;12;15;11;19;17;20;21;18;22
2;0;1;2;4;3;9;7;8;6;5;13;16;10;14;12;15;11;19;17;20;22;18;21
3;0;1;2;4;3;8;16;7;6;5;12;15;9;13;11;14;10;19;17;20;22;18;21
4;0;1;2;4;3;8;ab;7;6;5;12;15;9;13;11;14;10;18;16;19;21;17;20
5;0;1;2;4;3;8;ab;7;6;5;12;15;9;13;11;14;10;16;ab;17;19;ab;18
6;0;1;2;4;3;8;ab;7;6;5;12;15;9;13;11;14;10;16;ab;17;19;ab;18
7;0;1;2;4;3;8;ab;7;6;5;12;15;9;13;11;14;10;16;ab;17;19;ab;18
8;0;1;2;4;3;8;ab;7;6;5;12;15;9;13;11;14;10;16;ab;17;19;ab;18
9;0;1;2;4;3;8;ab;7;6;5;12;15;9;14;11;13;10;16;ab;17;19;ab;18
10;0;1;2;4;3;8;ab;7;6;5;11;15;9;13;10;12;14;16;ab;17;19;ab;18
11;0;1;2;4;3;8;ab;7;6;5;11;14;9;13;10;12;19;15;ab;16;18;ab;17
12;0;1;2;4;3;8;ab;7;6;5;11;14;9;13;10;12;19;15;ab;16;18;ab;17
13;0;1;2;4;3;8;ab;7;6;5;11;14;9;13;10;12;19;15;ab;16;18;ab;17
14;0;1;2;4;3;8;ab;7;6;5;11;14;9;13;10;12;19;15;ab;16;18;ab;17
15;0;1;2;4;3;8;ab;7;6;5;11;14;9;13;10;12;19;15;ab;16;18;ab;17
16;0;1;2;4;3;8;ab;7;6;5;11;14;9;13;10;12;19;15;ab;16;18;ab;17
17;0;1;2;4;3;8;ab;7;6;5;11;14;9;13;10;12;19;15;ab;16;18;ab;17
18;0;1;2;4;3;8;ab;7;6;5;11;14;9;13;10;12;19;15;ab;16;18;ab;17
19;0;1;2;4;3;8;ab;7;6;5;11;13;9;12;10;16;19;14;ab;15;18;ab;17
20;0;1;2;4;3;7;ab;9;6;5;11;13;8;12;10;16;19;14;ab;15;18;ab;17
21;0;1;2;4;3;7;ab;9;6;5;11;13;8;12;10;16;19;14;ab;15;18;ab;17
22;0;1;2;4;3;7;ab;9;6;5;10;13;8;12;11;16;18;14;ab;15;17;ab;ab
23;0;1;2;4;3;6;ab;12;11;5;8;13;7;10;9;16;18;14;ab;15;17;ab;ab
24;0;1;2;4;3;6;ab;12;11;5;8;13;7;10;9;16;18;14;ab;15;17;ab;ab
25;0;1;2;7;3;5;ab;11;10;4;12;13;6;9;8;ab;17;14;ab;15;16;ab;ab
26;0;1;2;6;3;5;ab;10;9;4;11;12;8;15;7;ab;17;13;ab;14;16;ab;ab
27;0;1;2;6;3;5;ab;10;9;4;11;12;8;15;7;ab;17;13;ab;14;16;ab;ab
28;0;1;2;5;4;3;ab;10;9;7;11;12;8;15;6;ab;17;13;ab;14;16;ab;ab
29;0;1;2;4;3;6;ab;9;8;5;11;12;7;15;10;ab;17;13;ab;14;16;ab;ab
30;0;1;2;4;3;6;ab;9;8;5;11;12;7;15;10;ab;17;13;ab;14;16;ab;ab
31;0;1;2;4;3;6;ab;9;8;5;11;12;7;15;10;ab;17;13;ab;14;16;ab;ab
32;0;1;2;4;3;6;ab;9;8;5;11;12;7;14;10;ab;17;15;ab;13;16;ab;ab
33;0;1;2;4;3;6;ab;9;8;5;11;12;7;14;10;ab;17;15;ab;13;16;ab;ab
34;0;1;2;4;3;6;ab;9;8;5;11;12;7;14;10;ab;17;15;ab;13;16;ab;ab
35;0;1;2;4;3;6;ab;9;8;5;11;12;7;14;10;ab;17;15;ab;13;16;ab;ab
36;0;1;2;4;3;6;ab;9;8;5;11;12;7;14;10;ab;17;15;ab;13;16;ab;ab
37;0;1;2;4;3;6;ab;9;8;5;10;11;7;14;12;ab;17;15;ab;13;16;ab;ab
38;0;1;2;4;3;6;ab;9;8;5;10;14;7;13;11;ab;17;15;ab;12;16;ab;ab
39;0;1;2;4;3;6;ab;9;8;5;10;14;7;13;11;ab;17;15;ab;12;16;ab;ab
40;0;1;2;4;3;6;ab;9;8;5;10;13;7;12;11;ab;17;14;ab;15;16;ab;ab
41;0;1;2;4;3;6;ab;9;8;5;10;13;7;12;11;ab;17;14;ab;15;16;ab;ab
42;0;1;2;4;3;6;ab;8;7;5;10;13;9;12;11;ab;17;14;ab;15;16;ab;ab
43;0;1;2;4;3;5;ab;7;6;8;10;13;9;12;11;ab;17;14;ab;15;16;ab;ab
44;0;2;1;4;3;5;ab;9;8;6;11;12;7;15;10;ab;17;13;ab;14;16;ab;ab
45;0;2;1;4;3;ab;ab;8;7;5;9;10;6;13;14;ab;16;11;ab;12;15;ab;ab
46;0;2;1;3;4;ab;ab;8;7;5;9;10;6;13;14;ab;16;11;ab;12;15;ab;ab
47;0;2;1;3;4;ab;ab;8;7;5;9;10;6;13;14;ab;16;11;ab;12;15;ab;ab
48;0;2;1;3;4;ab;ab;8;7;5;9;10;6;13;14;ab;16;11;ab;12;15;ab;ab
49;0;2;1;3;4;ab;ab;8;7;5;9;10;6;ab;13;ab;15;11;ab;12;14;ab;ab
50;0;2;1;3;4;ab;ab;8;7;5;9;10;6;ab;13;ab;15;11;ab;12;14;ab;ab
51;0;2;1;3;4;ab;ab;8;7;5;9;10;6;ab;13;ab;15;11;ab;12;14;ab;ab
52;0;2;1;3;4;ab;ab;8;7;5;9;10;6;ab;13;ab;15;11;ab;12;14;ab;ab
53;0;2;1;3;4;ab;ab;8;7;5;9;10;6;ab;13;ab;15;11;ab;12;14;ab;ab
54;0;2;1;3;4;ab;ab;8;7;5;9;10;6;ab;13;ab;15;11;ab;12;14;ab;ab
55;0;2;1;3;4;ab;ab;8;7;5;9;10;6;ab;13;ab;15;11;ab;12;14;ab;ab
56;0;2;1;3;4;ab;ab;8;7;5;9;10;6;ab;13;ab;15;11;ab;12;14;ab;ab
57;0;2;1;3;4;ab;ab;8;7;5;9;10;6;ab;13;ab;15;11;ab;12;14;ab;ab
58;0;2;1;3;4;ab;ab;7;15;5;8;9;6;ab;12;ab;14;10;ab;11;13;ab;ab
59;0;2;1;3;4;ab;ab;7;15;5;8;9;6;ab;12;ab;14;10;ab;11;13;ab;ab
60;0;2;1;3;4;ab;ab;7;15;5;8;9;6;ab;12;ab;14;10;ab;11;13;ab;ab
61;0;2;1;3;4;ab;ab;7;15;5;8;9;6;ab;12;ab;14;10;ab;11;13;ab;ab
