;sc;BAR;FRE;HAK;COU;MSC;BUT;RSC;VER;IRV;VIL;TRU;FIS;DIN;HER;ALE;ZON;HEI;SAL;DLR;WUR;GEN;MAZ
0;0;1;2;4;3;8;5;7;9;12;6;10;11;16;19;13;15;20;14;17;18;21;22
1;0;1;2;4;3;8;5;6;9;12;7;10;11;19;18;14;15;20;13;17;16;21;22
2;0;1;2;4;3;8;5;6;9;12;7;10;11;19;18;14;15;20;13;17;16;21;22
3;0;1;2;4;3;8;5;6;9;12;7;10;11;19;18;14;15;20;13;17;16;21;22
4;0;1;2;4;3;8;5;6;9;12;7;10;11;19;18;14;16;20;13;17;15;21;22
5;0;1;2;4;3;8;5;6;9;12;7;10;11;19;18;14;16;20;13;17;15;21;22
6;0;1;2;4;3;8;5;6;9;12;7;10;11;19;18;14;16;20;13;17;15;21;22
7;0;1;2;4;3;8;5;6;9;12;7;10;11;19;18;14;16;20;13;17;15;21;22
8;0;1;2;4;3;8;5;6;9;12;7;10;11;19;18;14;16;20;13;17;15;21;22
9;0;1;2;4;3;8;5;6;9;12;7;10;11;19;18;14;16;20;13;17;15;21;22
10;0;1;2;4;3;8;5;6;9;12;7;10;11;19;18;14;16;20;13;17;15;21;22
11;0;1;2;4;3;8;5;6;9;12;7;10;11;19;18;14;16;20;13;17;15;21;22
12;0;1;2;4;3;8;5;6;9;12;7;10;11;19;18;14;16;20;13;17;15;21;22
13;0;1;2;4;3;8;5;6;9;12;7;10;11;18;17;14;15;19;13;16;21;20;22
14;0;1;2;4;3;8;5;6;9;12;7;10;11;17;16;13;14;19;18;15;22;20;21
15;0;1;2;4;3;8;5;6;9;12;7;10;11;17;16;13;14;18;21;15;22;19;20
16;0;1;2;4;3;8;5;6;9;12;7;10;11;17;16;13;14;18;21;15;22;19;20
17;0;1;2;4;3;8;5;6;9;11;7;10;15;17;16;12;13;18;21;14;22;19;20
18;0;1;2;4;3;8;5;6;9;11;7;10;20;16;15;12;13;17;21;14;22;18;19
19;0;1;2;4;3;8;5;6;22;10;7;9;19;15;14;11;12;16;20;13;21;17;18
20;0;1;2;4;3;8;5;6;ab;10;7;9;19;15;14;11;12;16;20;13;21;17;18
21;0;1;2;4;3;8;5;6;ab;10;7;9;18;15;14;11;12;16;19;13;20;17;21
22;0;1;2;4;3;8;5;6;ab;10;7;9;18;13;12;15;11;14;19;16;20;17;21
23;0;1;5;3;2;8;4;6;ab;10;7;9;15;13;12;18;11;14;16;21;17;19;20
24;0;1;7;3;2;6;4;8;ab;10;5;9;14;13;12;17;11;19;15;21;16;18;20
25;0;1;6;3;2;5;8;7;ab;12;4;9;14;13;11;17;10;19;15;21;16;18;20
26;0;1;6;3;2;5;8;7;ab;15;4;9;12;17;11;16;10;19;13;ab;14;18;20
27;0;1;6;3;2;5;8;7;ab;14;4;9;11;16;17;15;10;19;12;ab;13;18;20
28;0;1;6;3;2;5;8;7;ab;13;4;9;10;16;17;15;14;19;11;ab;12;18;20
29;0;1;6;3;2;5;8;7;ab;13;4;9;10;16;17;15;14;19;11;ab;12;18;20
30;0;2;6;3;1;5;8;7;ab;13;4;9;10;16;17;15;14;19;11;ab;12;18;20
31;0;2;5;8;1;4;7;6;ab;13;3;9;10;16;17;15;14;19;11;ab;12;18;20
32;0;1;4;8;2;3;7;6;ab;13;5;9;10;16;17;15;14;19;11;ab;12;18;20
33;0;1;3;7;4;2;6;5;ab;13;9;8;10;16;17;15;14;19;11;ab;12;18;20
34;0;1;3;7;4;2;6;5;ab;12;9;8;10;16;17;15;14;19;11;ab;13;18;20
35;0;ab;2;6;3;1;5;4;ab;10;8;7;9;13;14;12;11;16;18;ab;19;15;17
36;0;ab;2;6;3;1;5;4;ab;10;8;7;9;12;13;11;ab;15;17;ab;18;14;16
37;0;ab;2;6;3;1;5;4;ab;10;7;9;8;12;13;11;ab;15;17;ab;18;14;16
38;0;ab;1;5;2;6;4;3;ab;10;7;8;9;12;13;11;ab;18;16;ab;17;14;15
39;0;ab;1;5;2;6;4;3;ab;9;7;8;13;11;12;10;ab;18;16;ab;17;14;15
40;0;ab;1;5;2;6;4;3;ab;9;7;8;13;11;12;10;ab;17;15;ab;16;18;14
41;0;ab;2;5;1;6;4;3;ab;9;7;8;13;11;12;10;ab;17;14;ab;16;18;15
42;0;ab;6;4;1;5;3;2;ab;9;7;8;13;12;11;10;ab;16;14;ab;15;17;18
43;0;ab;6;4;1;5;3;2;ab;9;7;8;12;15;10;11;ab;16;13;ab;14;17;18
44;0;ab;6;4;1;5;3;2;ab;9;7;8;11;15;10;14;ab;16;12;ab;13;17;18
45;0;ab;6;3;1;5;4;2;ab;9;7;8;11;15;10;14;ab;16;12;ab;13;17;18
46;0;ab;5;2;1;4;6;3;ab;16;7;8;10;14;9;13;ab;15;11;ab;12;17;18
47;0;ab;4;2;1;3;6;5;ab;16;7;8;9;13;14;12;ab;15;10;ab;11;17;18
48;0;ab;4;2;1;3;6;5;ab;16;7;8;9;13;14;12;ab;15;10;ab;11;17;18
49;0;ab;4;2;1;3;6;5;ab;16;7;8;9;13;14;12;ab;15;10;ab;11;17;18
50;0;ab;5;2;1;3;6;4;ab;16;7;8;9;13;14;12;ab;15;10;ab;11;17;18
51;0;ab;6;2;1;3;5;4;ab;15;7;8;9;13;14;12;ab;ab;10;ab;11;16;17
52;0;ab;6;2;1;3;5;4;ab;15;7;8;9;13;14;12;ab;ab;10;ab;11;16;17
53;0;ab;8;2;1;3;5;4;ab;15;6;7;9;13;14;12;ab;ab;10;ab;11;16;17
54;0;ab;17;2;1;3;5;4;ab;14;6;7;8;12;13;11;ab;ab;9;ab;10;15;16
55;0;ab;17;2;1;3;5;4;ab;14;7;6;8;12;13;11;ab;ab;9;ab;10;15;16
56;0;ab;17;2;1;3;5;4;ab;13;16;6;7;11;12;10;ab;ab;8;ab;9;14;15
57;0;ab;17;2;1;3;5;4;ab;13;16;6;7;11;12;10;ab;ab;8;ab;9;14;15
58;0;ab;17;2;1;3;5;4;ab;13;16;6;7;11;12;10;ab;ab;8;ab;9;14;15
59;0;ab;17;2;1;3;5;4;ab;13;16;6;7;11;12;10;ab;ab;8;ab;9;14;15
