;sc;MSC;HAK;COU;BAR;BUT;RSC;IRV;FRE;VIL;HER;WUR;FIS;DLR;VER;TRU;HEI;ALE;ZON;SAL;DIN;GEN;MAZ
0;0;2;1;3;6;7;4;5;11;9;8;14;20;13;10;12;17;16;18;15;19;21;22
1;0;2;1;3;6;7;4;5;11;9;8;14;20;13;10;12;17;16;18;15;19;21;22
2;0;2;1;3;6;7;4;5;11;9;8;14;20;13;10;12;17;16;18;15;19;21;22
3;0;2;1;3;6;7;4;5;11;9;8;14;20;13;10;12;17;16;18;15;19;21;22
4;0;2;1;3;6;7;4;5;11;9;8;14;20;13;10;12;17;16;18;15;19;21;22
5;0;2;1;3;6;7;4;5;11;9;8;14;20;13;10;12;17;16;18;15;19;21;22
6;0;2;1;3;6;7;4;5;12;8;9;14;20;13;10;11;17;16;18;15;19;21;22
7;0;2;1;3;6;7;4;5;12;8;9;14;20;13;10;11;17;16;18;15;19;21;22
8;0;2;1;3;6;7;4;5;11;8;9;13;19;12;22;10;16;15;17;14;18;20;21
9;0;2;1;3;6;7;4;5;11;8;9;13;19;12;ab;10;16;15;17;14;18;20;21
10;0;2;1;3;6;7;4;5;11;8;9;13;19;12;ab;10;16;15;17;14;18;20;21
11;0;2;1;3;6;7;4;5;11;8;9;13;19;12;ab;10;16;15;17;14;18;20;21
12;0;2;1;3;6;7;4;5;11;8;9;13;18;12;ab;10;16;15;17;14;19;20;21
13;0;2;1;3;6;7;4;5;11;8;9;13;18;12;ab;10;16;15;17;14;20;19;21
14;0;2;1;3;6;7;4;5;10;8;9;13;18;12;ab;11;16;15;17;14;20;19;21
15;0;2;1;3;5;6;4;7;10;8;9;12;17;11;ab;18;15;14;16;13;20;19;21
16;0;2;1;3;5;6;4;10;9;7;8;12;17;11;ab;18;15;14;16;13;20;19;21
17;0;2;1;3;5;6;4;10;9;7;8;14;15;11;ab;16;18;12;13;17;20;19;21
18;0;2;1;3;5;6;4;9;8;7;11;20;15;13;ab;14;19;10;12;18;17;16;21
19;0;2;1;3;4;5;6;7;11;8;9;17;18;15;ab;12;16;ab;10;14;13;19;20
20;0;2;1;3;4;6;5;7;11;8;9;19;17;15;ab;12;16;ab;10;14;13;18;20
21;0;1;2;3;4;6;5;7;11;8;9;19;17;15;ab;12;16;ab;10;14;13;18;20
22;0;1;3;2;4;6;5;7;10;8;9;19;17;15;ab;11;16;ab;13;14;12;18;20
23;0;3;2;1;4;6;5;8;10;7;9;19;17;15;ab;11;16;ab;13;14;12;18;20
24;0;2;1;3;4;6;5;8;10;7;9;19;17;15;ab;11;16;ab;13;14;12;18;20
25;0;2;1;3;4;6;5;8;10;7;9;19;17;15;ab;11;16;ab;13;14;12;18;20
26;0;2;1;3;4;6;5;8;10;7;9;19;17;15;ab;11;16;ab;13;14;12;18;20
27;0;2;1;3;4;6;5;8;10;7;9;19;17;15;ab;11;16;ab;13;14;12;18;20
28;0;2;1;3;4;6;5;8;10;7;9;19;17;14;ab;15;16;ab;11;12;13;18;20
29;0;2;1;3;4;5;6;8;ab;7;9;18;16;12;ab;13;14;ab;10;11;15;17;19
30;0;2;1;3;4;5;6;8;ab;7;9;18;16;12;ab;13;14;ab;10;11;15;17;19
31;0;2;1;3;4;5;6;8;ab;7;9;18;16;12;ab;13;14;ab;10;11;15;17;19
32;0;2;1;3;4;5;6;8;ab;7;9;18;16;12;ab;13;14;ab;10;11;15;17;19
33;0;2;1;3;4;5;6;9;ab;7;8;18;16;12;ab;14;13;ab;10;11;15;17;19
34;0;2;1;3;4;5;7;9;ab;6;8;18;16;11;ab;14;13;ab;10;12;15;17;19
35;0;2;1;3;4;5;7;9;ab;6;8;18;16;11;ab;15;13;ab;10;12;14;17;19
36;0;1;2;3;4;5;6;9;ab;7;8;18;16;11;ab;15;13;ab;10;12;14;17;19
37;0;1;2;3;4;5;6;9;ab;7;8;ab;15;16;ab;14;13;ab;10;11;12;17;18
38;0;1;2;3;4;5;6;9;ab;7;8;ab;14;15;ab;13;16;ab;10;11;12;17;18
39;0;1;2;3;4;5;6;9;ab;7;8;ab;14;15;ab;13;17;ab;10;11;12;16;18
40;0;1;2;3;4;5;6;9;ab;7;8;ab;14;15;ab;13;18;ab;10;11;12;16;17
41;0;1;2;3;4;5;ab;8;ab;6;7;ab;13;14;ab;12;ab;ab;9;10;11;15;16
42;0;1;2;3;4;5;ab;8;ab;6;7;ab;14;13;ab;12;ab;ab;9;10;11;15;16
43;0;1;2;3;4;5;ab;8;ab;6;7;ab;14;13;ab;12;ab;ab;9;10;11;15;16
44;0;1;2;3;4;5;ab;8;ab;6;7;ab;14;13;ab;12;ab;ab;9;10;11;15;16
45;0;1;2;3;4;5;ab;8;ab;6;7;ab;14;13;ab;12;ab;ab;9;10;11;15;16
46;0;1;2;3;4;5;ab;8;ab;6;7;ab;14;13;ab;12;ab;ab;9;10;11;ab;15
47;0;1;2;3;4;5;ab;8;ab;6;7;ab;14;12;ab;13;ab;ab;9;10;11;ab;15
48;0;1;2;3;4;5;ab;8;ab;6;7;ab;14;12;ab;13;ab;ab;9;10;11;ab;15
49;0;1;2;3;4;5;ab;8;ab;6;7;ab;14;12;ab;13;ab;ab;9;10;11;ab;15
50;0;1;2;3;4;5;ab;8;ab;6;7;ab;14;12;ab;13;ab;ab;9;10;11;ab;15
51;0;1;2;3;4;5;ab;8;ab;6;7;ab;14;12;ab;13;ab;ab;9;10;11;ab;15
52;0;1;2;3;4;5;ab;8;ab;6;7;ab;14;12;ab;13;ab;ab;9;10;11;ab;15
