;sc;HAK;COU;MSC;BAR;FRE;TRU;IRV;VIL;FIS;SAL;RSC;DLR;VER;WUR;HEI;ZON;ALE;GEN;DIN;HER;BUT;MAZ
0;0;1;2;3;5;4;6;9;7;11;8;13;12;10;16;18;14;20;22;17;21;15;19
1;0;1;2;3;5;4;6;10;7;12;8;13;11;9;16;18;14;19;21;17;ab;15;20
2;0;1;2;3;5;4;6;11;7;12;8;13;10;9;15;19;14;18;21;17;ab;16;20
3;0;1;2;3;5;4;6;11;7;12;8;13;10;9;15;19;14;18;21;17;ab;16;20
4;0;1;2;3;5;4;6;11;7;12;8;13;10;9;15;18;14;20;21;17;ab;16;19
5;0;1;2;3;5;4;6;11;7;12;8;13;10;9;15;18;14;20;21;17;ab;16;19
6;0;1;2;3;5;4;6;ab;7;9;8;10;ab;19;12;15;11;17;18;14;ab;13;16
7;1;1;2;3;5;4;6;ab;7;9;8;10;ab;19;12;15;11;17;18;14;ab;13;16
8;1;1;2;3;5;4;6;ab;7;9;8;10;ab;19;12;15;11;16;18;14;ab;13;17
9;1;1;2;3;5;4;6;ab;7;9;8;10;ab;19;12;15;11;16;18;14;ab;13;17
10;0;1;17;2;4;3;5;ab;6;8;7;9;ab;19;11;15;10;14;18;13;ab;12;16
11;0;1;ab;2;4;3;5;ab;6;8;7;9;ab;18;11;15;10;14;17;13;ab;12;16
12;0;1;ab;2;4;3;5;ab;6;8;7;9;ab;18;11;15;10;13;17;14;ab;12;16
13;0;1;ab;2;4;3;5;ab;6;8;7;9;ab;18;11;15;10;13;17;14;ab;12;16
14;0;1;ab;2;4;3;5;ab;6;8;7;9;ab;18;11;15;10;13;17;14;ab;12;16
15;0;1;ab;2;4;3;5;ab;6;8;7;9;ab;18;11;15;10;13;17;14;ab;12;16
16;0;1;ab;2;4;3;5;ab;6;8;7;9;ab;ab;11;15;10;13;17;14;ab;12;16
17;0;1;ab;2;4;3;5;ab;6;8;7;9;ab;ab;11;15;10;13;17;14;ab;12;16
18;0;ab;ab;1;3;2;4;ab;5;7;6;8;ab;ab;10;13;9;12;16;15;ab;11;14
19;0;ab;ab;1;3;2;4;ab;5;7;6;8;ab;ab;10;13;9;12;16;15;ab;11;14
20;0;ab;ab;1;3;2;4;ab;5;7;6;8;ab;ab;10;12;9;14;16;15;ab;11;13
21;0;ab;ab;1;3;2;4;ab;5;7;6;8;ab;ab;10;12;9;14;16;15;ab;11;13
22;0;ab;ab;1;3;2;4;ab;5;7;6;8;ab;ab;10;16;9;13;15;14;ab;11;12
23;0;ab;ab;1;3;2;4;ab;5;7;6;8;ab;ab;10;16;9;13;15;14;ab;11;12
24;0;ab;ab;1;3;2;4;ab;5;7;6;8;ab;ab;10;16;9;13;15;14;ab;11;12
25;0;ab;ab;1;3;2;4;ab;5;7;6;8;ab;ab;10;16;9;13;15;14;ab;11;12
26;0;ab;ab;1;3;2;4;ab;5;7;6;8;ab;ab;10;16;9;13;15;14;ab;11;12
27;0;ab;ab;1;3;2;4;ab;5;7;6;8;ab;ab;10;15;9;ab;14;13;ab;11;12
28;0;ab;ab;1;3;2;4;ab;5;7;6;8;ab;ab;10;15;9;ab;14;13;ab;11;12
29;0;ab;ab;3;2;1;4;ab;5;6;11;7;ab;ab;9;15;8;ab;14;13;ab;10;12
30;0;ab;ab;3;2;1;4;ab;5;6;11;7;ab;ab;9;15;8;ab;14;13;ab;10;12
31;0;ab;ab;3;2;1;4;ab;5;6;11;7;ab;ab;9;15;8;ab;14;13;ab;10;12
32;0;ab;ab;2;7;1;3;ab;4;5;11;6;ab;ab;9;15;8;ab;14;13;ab;10;12
33;0;ab;ab;2;10;1;3;ab;4;5;11;6;ab;ab;8;15;7;ab;14;13;ab;9;12
34;0;ab;ab;2;8;1;3;ab;4;5;11;6;ab;ab;10;15;9;ab;14;13;ab;7;12
35;0;ab;ab;1;5;6;ab;ab;2;7;9;3;ab;ab;10;14;8;ab;13;11;ab;4;12
36;0;ab;ab;1;3;4;ab;ab;5;6;8;2;ab;ab;10;14;9;ab;13;11;ab;7;12
37;0;ab;ab;1;2;4;ab;ab;5;6;9;3;ab;ab;10;14;8;ab;13;11;ab;7;12
38;0;ab;ab;1;2;5;ab;ab;4;6;9;3;ab;ab;10;14;8;ab;13;11;ab;7;12
39;0;ab;ab;1;2;ab;ab;ab;4;5;8;3;ab;ab;9;13;7;ab;12;10;ab;6;11
40;0;ab;ab;1;2;ab;ab;ab;4;5;8;3;ab;ab;9;12;7;ab;10;11;ab;6;ab
41;0;ab;ab;1;2;ab;ab;ab;4;5;8;3;ab;ab;9;11;7;ab;10;ab;ab;6;ab
42;0;ab;ab;1;2;ab;ab;ab;4;5;8;3;ab;ab;9;11;7;ab;10;ab;ab;6;ab
43;0;ab;ab;1;2;ab;ab;ab;4;5;8;3;ab;ab;9;11;7;ab;10;ab;ab;6;ab
44;0;ab;ab;2;1;ab;ab;ab;4;5;8;3;ab;ab;9;11;7;ab;10;ab;ab;6;ab
45;0;ab;ab;1;2;ab;ab;ab;4;5;8;3;ab;ab;9;11;7;ab;10;ab;ab;6;ab
46;0;ab;ab;1;2;ab;ab;ab;4;5;7;3;ab;ab;8;10;6;ab;9;ab;ab;ab;ab
