;sc;VET;WEB;KOB;GRO;PER;ALO;RAI;BUT;HAM;MAS;DRE;MAL;ROS;RIC;HUL;SEN;KOV;GLO;VER;DLR;PIC;PET;MSC;KAR
0;1;1;22;2;12;6;ab;5;3;7;4;15;9;ab;10;8;21;13;11;14;17;18;19;16;20
1;1;1;22;2;20;6;ab;5;3;7;4;14;9;ab;10;8;21;12;11;13;16;17;18;15;19
2;0;1;22;2;20;7;ab;5;3;6;4;14;9;ab;10;8;21;11;12;13;16;19;17;15;18
3;0;1;22;2;19;7;ab;5;3;6;4;13;9;ab;10;8;20;11;14;12;16;21;17;15;18
4;0;1;22;2;18;7;ab;5;3;6;4;13;9;ab;10;8;19;11;15;12;16;21;17;14;20
5;0;1;22;2;18;6;ab;5;3;7;4;13;9;ab;10;8;19;11;15;12;16;21;17;14;20
6;0;1;21;2;19;6;ab;5;3;7;4;13;9;ab;10;8;18;11;15;12;16;22;17;14;20
7;0;1;19;2;22;6;ab;5;3;7;4;13;9;ab;10;8;17;11;15;12;16;21;18;14;20
8;0;1;19;2;22;6;ab;5;3;7;4;13;9;ab;10;8;16;11;15;12;17;21;18;14;20
9;0;1;19;2;22;6;ab;5;3;7;4;13;9;ab;10;8;16;11;15;12;17;21;18;14;20
10;0;1;18;2;22;6;ab;5;3;7;4;13;9;ab;10;8;16;11;15;12;17;21;19;14;20
11;0;1;17;2;22;6;ab;5;3;7;4;13;9;ab;10;8;15;11;16;12;18;21;19;14;20
12;0;1;17;2;22;5;ab;6;4;7;3;14;9;ab;10;8;15;11;16;12;18;21;19;13;20
13;0;1;16;2;21;4;ab;11;8;5;3;17;6;ab;7;13;14;9;15;10;18;22;19;12;20
14;0;1;16;7;20;4;ab;9;8;3;2;17;5;ab;6;12;14;10;15;11;18;22;19;13;21
15;0;1;15;6;20;9;ab;8;7;3;2;17;4;ab;5;10;14;11;16;12;18;21;19;13;22
16;0;1;14;3;19;8;ab;6;4;7;2;16;12;ab;5;9;17;10;15;11;20;21;18;13;22
17;0;1;11;3;19;7;ab;5;4;6;2;15;9;ab;13;8;17;10;14;12;22;20;18;16;21
18;0;1;9;3;16;ab;ab;5;4;6;2;12;8;ab;10;7;14;15;11;17;21;19;18;13;20
19;0;1;9;3;16;ab;ab;5;4;6;2;11;8;ab;10;7;14;15;12;17;21;18;19;13;20
20;0;1;9;3;15;ab;ab;5;4;6;2;11;8;ab;10;7;13;14;17;16;21;18;19;12;20
21;0;1;9;3;16;ab;ab;5;4;6;2;11;8;ab;10;7;15;13;17;14;21;18;19;12;20
22;0;1;9;3;18;ab;ab;5;4;6;2;11;8;ab;10;7;15;13;16;14;20;17;19;12;21
