;sc;ALO;VET;MSC;HUL;MAL;BUT;HAM;WEB;DRE;RAI;RIC;KOB;MAS;SEN;VER;KOV;PER;PET;GRO;PIC;ROS;GLO;DLR;KAR
0;0;1;2;3;4;6;5;8;7;10;9;11;12;22;23;13;17;14;15;24;18;16;19;20;21
1;0;1;2;3;4;6;5;8;7;10;9;11;12;22;24;13;17;14;16;23;18;15;19;20;21
2;0;1;2;3;4;6;5;22;7;8;9;10;11;21;24;13;16;12;15;23;17;14;18;19;20
3;0;1;2;3;4;6;5;22;7;8;9;10;11;21;24;13;16;12;15;23;17;14;18;19;20
4;0;1;2;3;4;6;5;22;7;9;8;12;10;21;24;14;16;11;15;23;17;13;18;19;20
5;0;1;2;3;4;6;5;22;7;9;8;13;10;21;24;15;16;11;14;23;17;12;18;19;20
6;0;1;2;3;4;6;5;22;7;9;8;13;11;21;24;20;15;10;14;23;16;12;17;18;19
7;0;1;2;3;5;6;4;22;7;9;8;13;11;21;24;19;15;10;14;23;16;12;17;18;20
8;0;1;2;3;5;6;4;22;7;10;8;13;11;20;24;18;15;9;14;23;16;12;17;19;21
9;0;1;2;3;5;6;4;22;7;11;8;13;10;19;24;17;15;9;14;23;16;12;18;20;21
10;0;1;2;4;5;6;3;22;7;15;9;12;10;19;24;16;14;8;13;23;17;11;18;20;21
11;0;1;2;4;6;5;3;22;8;15;13;10;9;18;24;16;14;7;12;23;17;11;19;20;21
12;0;1;2;4;9;6;3;22;12;13;10;8;7;18;24;16;14;5;11;23;17;15;19;20;21
13;0;1;2;4;8;10;3;22;11;12;9;7;6;16;24;15;18;5;13;23;17;14;19;20;21
14;0;1;2;7;9;10;3;22;11;12;8;6;5;15;24;14;17;4;18;23;16;13;19;20;21
15;0;1;2;7;9;10;3;22;11;12;8;6;5;15;24;14;16;4;18;23;17;13;19;20;21
16;0;1;2;7;9;10;3;21;11;12;8;6;4;15;24;14;16;5;17;23;18;13;19;20;22
17;0;2;1;6;8;9;3;21;11;12;7;5;4;15;24;14;16;10;17;23;18;13;19;20;22
18;0;3;1;5;7;10;2;19;11;12;6;9;4;15;24;14;16;8;17;23;18;13;20;21;22
19;0;2;1;5;7;10;4;19;9;11;6;14;3;15;23;13;16;8;17;21;18;12;24;20;22
20;0;1;2;6;7;10;4;19;9;11;5;14;3;15;21;13;16;8;17;20;18;12;23;24;22
21;0;1;2;6;7;10;3;18;9;11;5;14;4;15;21;13;16;8;17;19;20;12;23;24;22
22;0;1;2;5;6;11;3;18;8;9;4;14;10;15;21;13;16;7;17;19;20;12;22;23;24
23;0;1;2;5;6;12;3;18;8;9;4;14;10;16;21;13;15;7;17;20;19;11;22;23;24
24;0;1;2;5;6;12;3;18;8;10;4;14;9;17;20;13;15;7;16;21;19;11;22;23;24
25;0;1;2;5;6;12;3;18;8;10;4;14;9;17;21;13;15;7;16;20;19;11;22;23;24
26;0;1;2;5;6;12;3;18;8;10;4;13;9;17;21;14;15;7;16;20;19;11;22;23;24
27;0;1;2;5;6;12;3;18;8;10;4;13;9;17;21;16;14;7;15;20;19;11;22;23;24
28;0;1;2;5;6;12;3;18;8;11;4;13;9;17;21;16;14;7;15;20;19;10;22;23;24
29;0;1;2;5;7;12;3;18;8;11;4;13;9;16;21;17;14;6;15;20;19;10;22;23;24
30;0;1;2;5;9;12;3;18;7;11;4;13;8;16;21;17;14;6;15;20;19;10;22;23;24
31;0;1;2;5;13;11;3;18;8;10;4;12;7;14;21;15;17;6;16;20;19;9;22;23;24
32;0;1;2;5;12;10;3;18;8;9;4;11;7;14;21;15;16;6;17;20;19;13;22;23;24
33;0;1;2;5;11;10;3;18;8;9;4;12;7;14;21;15;16;6;17;19;20;13;22;23;24
34;0;1;2;5;11;10;3;17;8;9;4;12;7;14;21;15;16;6;18;19;20;13;22;23;24
35;0;1;2;5;10;11;3;17;8;9;4;13;7;14;21;15;16;6;18;19;20;12;22;23;24
36;0;1;2;8;10;12;3;17;7;9;4;13;6;14;20;15;16;5;18;19;21;11;22;23;24
37;0;1;2;8;10;12;3;17;7;9;4;13;5;14;20;15;16;6;18;19;21;11;22;23;24
38;0;1;2;8;9;15;3;16;7;10;6;14;4;12;20;13;17;5;18;19;21;11;22;23;24
39;0;1;2;7;9;15;3;16;8;11;6;14;4;12;20;13;17;5;18;19;21;10;22;23;24
40;0;1;2;6;7;15;3;16;10;11;5;14;4;12;20;13;17;8;18;19;21;9;24;22;23
41;0;1;3;6;7;15;2;16;10;11;5;14;4;12;20;13;17;8;18;19;21;9;24;22;23
42;0;1;3;6;7;15;2;16;10;11;5;14;4;12;19;13;17;8;18;21;20;9;24;22;23
43;0;1;3;5;6;15;2;16;10;11;4;14;7;12;19;13;17;8;18;20;21;9;24;22;23
44;0;1;3;5;7;15;2;16;10;11;4;13;6;12;18;14;19;8;17;20;21;9;24;22;23
45;0;1;3;5;8;14;2;15;10;11;4;13;6;12;18;16;19;7;17;20;21;9;22;24;23
46;0;1;3;5;11;14;2;16;9;10;4;12;6;13;19;15;18;7;17;20;21;8;22;23;24
47;0;1;3;5;11;13;2;16;9;10;4;12;6;14;19;15;18;7;17;20;21;8;22;23;24
