;sc;HAM;BUT;MAS;MSC;VET;ROS;RAI;KOB;DRE;ALO;WEB;PER;SEN;RIC;DAM;VER;KOV;PET;GLO;PIC;KAR;MAL;DLR;HUL
0;0;1;3;2;4;5;11;6;8;9;7;14;12;10;13;15;17;16;20;21;22;23;19;24;18
1;0;1;3;2;4;5;12;7;8;9;6;14;11;10;13;15;16;17;20;21;22;23;19;24;18
2;0;1;3;2;4;5;12;7;8;9;6;14;10;11;13;15;16;18;19;21;22;23;20;24;17
3;0;1;3;2;5;4;11;7;8;9;6;13;10;12;14;15;16;18;20;21;22;23;19;24;17
4;0;1;3;2;5;4;13;7;8;9;6;12;10;11;14;15;16;18;20;21;22;23;19;24;17
5;0;1;3;2;5;4;13;7;8;10;6;12;9;11;14;15;16;18;20;21;22;23;19;24;17
6;0;1;3;2;6;4;13;7;9;10;5;12;8;11;14;15;16;19;20;22;21;23;18;24;17
7;0;1;3;2;6;4;13;7;9;10;5;11;8;12;14;15;16;19;20;24;21;22;18;23;17
8;0;1;3;2;6;4;13;7;9;10;5;11;8;12;14;15;ab;18;19;23;20;21;17;22;16
9;0;1;3;2;6;4;13;7;9;10;5;11;8;12;14;15;ab;18;19;23;20;21;17;22;16
10;0;1;3;2;6;4;13;7;9;11;5;10;8;12;14;15;ab;18;19;23;20;21;17;22;16
11;0;1;3;2;6;4;13;7;9;11;5;10;8;12;14;15;ab;18;19;23;20;21;17;22;16
12;0;1;3;2;6;4;13;7;9;11;5;10;8;12;14;15;ab;18;19;23;20;21;17;22;16
13;0;1;3;2;6;4;14;7;9;11;5;10;8;12;13;16;ab;17;18;23;19;20;21;22;15
14;0;1;3;2;8;4;19;6;9;11;5;10;7;12;13;15;ab;16;17;23;18;21;20;22;14
15;0;1;3;2;15;4;18;6;8;10;5;9;7;11;12;14;ab;16;17;23;19;21;20;22;13
16;0;1;3;2;15;4;18;7;9;10;5;8;6;11;12;14;ab;17;16;23;19;21;20;22;13
17;0;1;3;2;13;4;17;15;8;9;5;7;6;10;11;14;ab;21;16;23;19;20;18;22;12
