;sc;VET;HAM;MAL;GRO;RAI;ROS;KOB;HUL;BUT;DRE;ALO;MSC;MAS;SEN;PER;KOV;RIC;VER;WEB;PET;DLR;KAR;PIC;GLO
0;0;1;2;5;3;6;11;4;7;13;9;8;12;10;14;15;18;16;20;17;19;21;22;23;np
1;0;1;2;5;3;6;11;4;7;13;9;8;12;10;14;15;18;16;20;17;19;21;22;23;np
2;0;1;2;5;3;6;11;4;7;12;9;8;13;10;14;15;18;16;20;17;19;21;22;23;np
3;0;1;2;5;3;6;11;4;7;12;9;8;13;10;14;15;18;16;20;17;19;21;22;23;np
4;0;1;2;5;3;6;11;4;7;12;9;8;13;10;14;15;18;16;20;17;19;21;22;23;np
5;0;1;2;5;3;6;11;4;7;12;9;8;13;10;14;15;18;16;20;17;19;21;22;23;np
6;0;1;2;5;3;6;11;4;7;12;9;8;13;10;14;15;18;16;20;17;19;21;22;23;np
7;0;1;2;5;3;6;11;4;7;12;9;8;13;10;14;15;18;16;20;17;19;21;22;23;np
8;0;1;2;5;3;6;11;4;7;12;9;8;13;10;14;15;19;16;20;17;18;21;22;23;np
9;0;1;3;5;2;6;11;4;7;19;9;8;12;10;13;20;17;14;18;15;16;21;22;23;np
10;0;1;3;5;2;6;10;4;7;19;9;8;11;16;12;20;17;13;18;14;15;21;22;23;np
11;0;1;3;5;2;6;10;4;8;18;9;7;11;17;12;19;21;13;16;14;15;20;22;23;np
12;0;1;9;5;2;4;10;3;7;16;8;6;11;15;12;18;21;13;17;14;19;20;22;23;np
13;0;1;8;12;2;9;5;10;13;15;4;3;6;14;7;16;20;18;17;11;19;22;21;23;np
14;0;1;7;12;2;10;4;11;14;15;3;6;5;13;8;16;20;18;17;9;19;21;22;23;np
15;0;1;5;12;2;10;4;11;14;15;3;9;6;13;7;16;20;18;17;8;19;21;23;22;np
16;0;1;5;12;4;10;3;11;14;15;2;9;6;13;7;16;19;17;20;8;18;21;23;22;np
17;0;1;5;12;3;10;4;11;14;15;2;7;6;13;8;16;19;17;20;9;18;21;23;22;np
18;0;1;4;10;2;8;5;9;12;13;3;6;17;11;7;14;19;16;20;15;18;21;23;22;np
19;0;1;3;7;2;6;12;17;9;10;4;5;15;8;23;11;18;13;19;16;14;20;22;21;np
20;0;1;3;7;2;6;13;18;9;10;4;5;14;8;23;11;17;12;19;15;16;20;22;21;np
21;0;1;3;7;2;6;13;18;9;10;5;4;14;8;23;11;17;12;19;15;16;20;22;21;np
22;0;1;3;6;2;5;12;17;8;9;14;4;13;7;23;10;18;11;19;15;16;20;22;21;np
23;0;1;3;6;2;5;12;17;8;9;15;4;13;7;23;10;18;11;19;14;16;20;22;21;np
24;0;1;3;6;2;5;11;15;8;9;14;4;12;7;23;16;17;10;18;13;19;20;22;21;np
25;0;1;3;6;2;5;10;15;8;13;14;4;11;7;23;16;17;9;18;12;19;20;22;21;np
26;0;1;3;6;2;5;9;14;7;15;13;4;10;12;22;16;21;8;ab;11;17;18;20;19;np
27;0;1;5;7;2;4;8;13;11;15;12;3;9;14;22;16;21;6;ab;10;17;19;18;20;np
28;1;1;6;10;2;5;7;13;11;15;12;3;8;14;21;16;20;4;ab;9;17;18;22;19;np
29;1;1;6;10;2;5;7;13;11;15;12;3;8;14;21;16;20;4;ab;9;17;18;22;19;np
30;1;1;6;10;2;5;7;13;11;15;12;3;8;14;21;16;20;4;ab;9;17;18;22;19;np
31;1;1;6;10;2;5;7;13;11;15;12;3;8;14;21;16;20;4;ab;9;17;18;22;19;np
