;sc;LEC;SAI;PER;VER;NOR;RUS;ALO;HAM;VET;OCO;TSU;BOT;MAG;RIC;MSC;ALB;GAS;STR;LAT;ZHO
0;1;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;19;20;18
1;1;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20;17
2;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20;17
3;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;17;15;18;19;20;16
4;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;18;15;17;19;20;16
5;0;1;2;3;4;5;6;7;8;16;9;17;10;11;12;18;13;15;19;20;14
6;0;1;2;3;4;5;6;7;8;16;9;18;10;11;12;17;13;15;19;20;14
7;0;1;2;3;4;5;6;7;8;16;9;18;10;11;12;17;13;15;19;20;14
8;0;1;2;3;4;5;6;7;8;16;9;18;10;11;12;17;13;15;19;20;14
9;0;1;2;3;4;5;6;7;8;16;9;18;10;11;12;17;13;15;19;20;14
10;0;1;2;3;4;5;6;7;8;15;9;18;10;11;12;17;16;14;19;20;13
11;0;1;2;3;4;5;6;7;8;15;9;18;10;11;12;17;16;13;19;20;14
12;0;1;2;3;4;5;6;7;8;15;9;18;10;11;13;17;16;12;19;20;14
13;0;1;2;3;4;5;6;7;8;15;9;18;10;11;13;17;16;12;19;20;14
14;0;1;2;3;4;5;6;7;9;15;8;18;10;11;13;17;16;12;19;20;14
15;0;1;2;5;3;4;6;7;9;15;8;18;10;11;13;17;16;12;19;20;14
16;0;1;2;4;3;7;5;6;9;14;8;17;10;11;13;20;16;12;18;19;15
17;0;3;1;2;4;7;5;6;9;14;8;16;10;11;13;20;19;12;17;18;15
18;0;3;1;2;4;7;5;6;9;13;8;15;10;12;16;20;18;11;14;19;17
19;0;3;1;2;4;7;5;6;9;11;8;14;13;ab;15;18;17;10;12;19;16
20;0;4;3;1;2;5;6;7;8;11;9;15;13;ab;14;18;16;10;12;19;17
21;0;4;2;1;3;5;6;7;8;9;10;15;12;ab;14;17;19;13;11;18;16
22;0;4;2;1;3;6;5;7;8;12;9;15;11;ab;14;17;19;13;10;18;16
23;0;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;17;19;12;14;18;16
24;0;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;18;12;14;17;16
25;0;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;18;12;14;17;16
26;1;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;18;12;14;17;16
27;1;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;18;12;14;17;16
28;1;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;18;12;14;17;16
29;1;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;18;12;14;17;16
30;1;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;18;12;14;17;16
31;1;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;18;12;14;17;16
32;0;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;18;12;14;17;16
33;0;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;18;12;14;17;16
34;0;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;18;12;14;17;16
35;0;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;18;12;14;17;16
36;0;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;18;12;14;17;16
37;0;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;18;12;14;17;16
38;0;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;18;12;14;17;16
39;0;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;18;12;14;17;16
40;0;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;18;12;14;17;16
41;0;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;18;12;14;17;16
42;0;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;18;12;14;17;16
43;0;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;18;12;14;17;16
44;0;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;18;12;14;17;16
