;sc;LEC;SAI;VER;PER;BOT;HAM;GAS;NOR;TSU;STR;ALO;RUS;VET;RIC;MSC;MAG;ZHO;ALB;LAT;OCO
0;0;1;3;2;4;5;8;6;9;10;19;7;15;20;11;12;13;14;16;17;18
1;0;1;3;2;4;5;8;6;9;10;19;7;15;20;12;11;13;14;16;18;17
2;0;1;3;2;4;5;7;6;9;10;19;8;15;20;13;11;12;14;16;18;17
3;0;1;3;2;4;5;7;6;9;10;19;8;15;20;13;11;12;14;16;18;17
4;0;1;3;2;4;5;7;6;9;10;19;8;15;20;13;11;12;14;16;18;17
5;0;1;3;2;4;5;6;7;9;12;18;8;14;19;13;10;11;20;15;17;16
6;0;1;3;2;4;5;6;7;9;12;18;8;15;19;13;10;11;ab;14;17;16
7;0;1;3;2;4;5;6;7;9;12;18;8;14;19;13;10;11;ab;15;17;16
8;0;2;3;1;4;5;6;7;9;12;18;8;14;19;13;10;11;ab;15;17;16
9;0;2;3;1;4;5;6;7;9;13;18;8;14;19;12;10;11;ab;15;17;16
10;0;2;3;1;4;5;6;7;9;16;18;8;13;19;12;11;10;ab;14;17;15
11;0;2;3;1;4;5;6;7;9;19;17;8;12;18;11;10;13;ab;14;16;15
12;0;2;3;1;4;5;6;7;9;19;16;8;11;17;12;10;18;ab;13;15;14
13;0;2;3;1;4;5;6;7;9;19;16;8;10;17;11;12;18;ab;13;15;14
14;0;2;3;1;4;5;6;7;8;19;14;9;10;16;11;18;17;ab;12;15;13
15;0;2;3;1;4;5;6;7;8;19;14;13;9;15;10;18;16;ab;12;17;11
16;0;2;3;1;4;5;6;11;7;18;13;12;8;14;9;16;15;ab;19;17;10
17;0;2;3;1;4;5;6;11;8;18;13;12;7;14;9;16;15;ab;19;17;10
18;0;2;3;1;4;5;6;10;16;19;12;11;7;13;8;15;14;ab;18;17;9
19;0;2;3;1;4;5;6;10;16;19;12;11;7;13;8;15;14;ab;17;18;9
20;0;2;3;1;4;5;6;10;16;19;12;11;7;13;8;15;14;ab;17;18;9
21;0;2;3;1;4;5;6;10;16;19;12;11;7;13;8;15;14;ab;17;18;9
22;0;2;3;1;4;5;7;10;16;19;12;11;6;13;8;15;14;ab;17;18;9
23;0;3;2;1;4;5;7;10;16;18;12;11;6;13;8;15;14;ab;17;19;9
24;0;4;2;1;3;5;7;10;16;18;12;11;6;13;8;15;14;ab;17;19;9
25;0;4;2;1;3;5;7;10;16;18;12;11;6;13;8;15;14;ab;17;19;9
26;0;3;1;2;4;6;7;10;16;18;12;11;5;14;8;15;13;ab;17;19;9
27;0;2;3;1;4;6;7;10;16;18;12;11;5;14;8;15;13;ab;17;19;9
28;0;2;3;1;4;6;7;10;16;18;12;11;5;14;8;15;13;ab;17;19;9
29;0;2;3;1;4;6;7;9;16;18;12;11;5;13;10;15;14;ab;17;19;8
30;0;2;3;1;4;6;7;9;15;18;11;10;5;14;17;13;12;ab;16;19;8
31;0;2;3;1;4;6;7;9;15;18;11;10;5;14;17;13;12;ab;16;19;8
32;0;2;3;1;4;6;7;9;15;18;11;10;5;14;17;13;12;ab;16;19;8
33;0;2;3;1;4;6;7;9;15;18;11;10;5;14;17;12;13;ab;16;19;8
34;0;2;3;1;4;6;7;9;14;18;11;10;5;15;17;12;13;ab;16;19;8
35;0;2;3;1;4;6;7;9;14;18;11;10;5;15;17;12;13;ab;16;19;8
36;0;2;3;1;4;6;7;9;14;18;11;10;5;15;17;12;13;ab;16;19;8
37;0;2;3;1;4;6;7;9;14;18;11;10;5;15;17;12;13;ab;16;19;8
38;0;2;3;1;4;6;7;11;14;18;10;9;5;15;17;12;13;ab;16;19;8
39;0;2;3;1;4;5;6;15;ab;17;11;9;7;13;16;10;12;ab;14;18;8
40;1;2;3;1;4;5;6;16;ab;17;13;9;7;14;15;10;11;ab;12;18;8
41;1;2;3;1;4;5;6;16;ab;18;13;8;7;14;15;9;11;ab;12;17;10
42;1;2;3;1;4;5;6;16;ab;18;12;8;7;14;15;9;13;ab;11;17;10
43;1;2;3;1;4;5;6;16;ab;18;12;8;7;14;15;9;13;ab;11;17;10
44;1;2;3;1;4;5;6;18;ab;17;12;8;7;14;15;9;13;ab;11;16;10
45;1;2;3;1;4;5;6;ab;ab;17;12;8;7;14;15;9;13;ab;11;16;10
46;0;2;3;1;4;5;6;ab;ab;17;15;8;7;12;13;9;14;ab;11;16;10
47;0;2;3;1;4;5;6;ab;ab;17;15;8;7;12;13;9;14;ab;11;16;10
48;0;2;3;1;4;7;5;ab;ab;16;14;8;6;11;13;9;15;ab;12;17;10
49;0;2;3;1;4;7;6;ab;ab;16;15;8;5;11;13;9;14;ab;12;17;10
50;0;2;3;1;4;7;6;ab;ab;16;15;8;5;11;13;9;14;ab;12;17;10
51;0;2;3;1;4;7;6;ab;ab;16;15;8;5;11;13;9;14;ab;12;17;10
52;0;2;3;1;4;7;6;ab;ab;16;15;8;5;9;13;10;14;ab;12;17;11
53;0;2;3;1;4;7;6;ab;ab;14;12;8;5;17;13;16;11;ab;10;15;9
54;0;2;3;1;4;7;6;ab;ab;14;12;8;5;17;13;16;11;ab;10;15;9
55;0;2;3;1;4;7;6;ab;ab;14;12;8;5;17;11;16;13;ab;10;15;9
56;0;2;3;1;4;7;6;ab;ab;13;12;8;5;17;11;15;16;ab;10;14;9
