;sc;LEC;VER;SAI;RUS;PER;HAM;BOT;MAG;RIC;MSC;NOR;OCO;TSU;GAS;ZHO;VET;STR;ALB;LAT;ALO
0;0;1;2;5;3;4;19;7;20;8;6;10;9;11;12;17;13;14;16;18;15
1;0;1;2;5;3;4;19;7;20;8;6;10;9;11;12;17;13;14;16;18;15
2;0;1;2;5;3;4;19;7;20;8;6;10;9;11;12;16;13;14;17;18;15
3;0;1;2;5;3;4;19;6;20;8;7;10;9;11;12;16;13;14;17;18;15
4;0;1;2;5;3;4;19;6;20;9;7;10;8;11;12;16;13;15;17;18;14
5;0;1;2;5;3;4;19;6;20;9;8;10;7;11;12;15;13;16;17;18;14
6;0;1;2;11;3;4;19;5;20;8;7;9;6;10;12;15;14;16;17;18;13
7;0;1;2;11;3;4;19;5;20;8;7;9;6;10;12;15;14;16;17;18;13
8;0;1;4;11;2;3;19;5;20;9;7;8;6;10;13;15;14;16;17;18;12
9;0;1;4;11;2;3;19;5;20;9;8;7;6;10;14;16;12;15;17;18;13
10;0;1;3;15;2;4;19;5;20;10;8;7;6;9;17;18;11;12;14;13;16
11;0;1;3;11;2;4;18;5;20;15;8;7;6;14;16;17;9;10;19;12;13
12;0;1;4;10;3;2;17;5;20;13;14;9;6;12;15;16;7;8;18;19;11
13;0;1;5;8;4;2;17;3;20;13;14;10;7;11;15;16;6;9;18;19;12
14;0;1;4;8;3;2;16;5;20;12;13;9;7;10;14;15;6;18;17;19;11
15;0;1;4;8;3;2;16;5;20;12;13;9;7;10;14;15;6;17;18;19;11
16;0;1;4;8;3;2;16;5;20;12;13;9;6;10;14;15;7;17;18;19;11
17;0;1;3;7;2;4;16;5;20;12;13;9;6;10;14;15;8;17;18;19;11
18;0;1;3;7;2;4;16;5;20;13;12;9;6;10;14;15;8;17;18;19;11
19;0;1;3;7;2;4;16;5;20;13;12;9;6;10;14;15;8;17;18;19;11
20;0;1;3;7;2;4;16;5;20;13;12;8;6;9;14;15;10;17;19;18;11
21;0;1;3;7;2;4;16;5;20;12;11;8;6;9;14;13;17;15;19;18;10
22;0;1;3;7;2;4;19;5;20;12;11;8;6;9;14;13;16;15;18;17;10
23;0;1;3;6;2;4;18;5;20;12;11;8;7;9;14;13;16;15;19;17;10
24;0;1;3;6;2;4;17;5;20;12;11;8;7;9;14;13;16;15;19;18;10
25;0;1;3;6;2;4;17;5;19;12;11;8;7;9;14;13;16;15;20;18;10
26;0;4;2;6;1;3;16;5;18;12;11;8;7;9;14;13;15;17;20;19;10
27;0;ab;3;5;1;2;14;4;16;11;10;7;6;8;12;15;13;17;19;18;9
28;0;ab;4;5;1;2;13;3;17;11;10;7;6;8;14;ab;12;15;18;16;9
29;0;ab;4;5;1;2;12;3;18;10;11;7;6;8;14;ab;13;15;17;16;9
30;0;ab;3;5;2;1;10;4;18;11;13;7;6;8;14;ab;12;15;17;16;9
31;0;ab;3;7;2;1;9;4;18;13;12;6;5;8;14;ab;10;15;17;16;11
32;0;ab;3;7;2;1;8;4;18;13;12;6;5;10;14;ab;9;15;17;16;11
33;0;ab;3;6;2;1;7;4;18;13;12;9;5;11;14;ab;8;15;17;16;10
34;0;ab;3;5;2;1;7;4;18;13;12;9;6;11;14;ab;8;15;17;16;10
35;0;ab;2;5;3;1;6;4;18;13;12;9;7;11;14;ab;8;15;17;16;10
36;0;ab;2;5;3;1;6;4;18;13;12;9;7;11;14;ab;8;15;17;16;10
37;0;ab;1;5;3;2;6;4;18;13;12;9;7;11;14;ab;8;15;17;16;10
38;0;ab;1;5;3;2;6;4;18;13;12;8;7;11;14;ab;9;15;17;16;10
39;0;ab;1;5;3;2;6;4;17;13;12;8;7;11;14;ab;9;15;18;16;10
40;0;ab;1;5;3;2;6;4;17;13;12;8;7;11;14;ab;9;15;18;16;10
41;0;ab;1;5;3;2;6;4;17;13;12;8;7;10;14;ab;11;15;18;16;9
42;0;ab;1;5;3;2;6;4;17;12;11;8;7;10;13;ab;14;15;18;16;9
43;0;ab;1;5;3;2;6;4;17;12;11;8;7;10;13;ab;14;15;18;16;9
44;0;ab;2;5;3;1;6;4;17;12;11;8;7;10;14;ab;13;15;18;16;9
45;0;ab;2;7;3;1;5;4;17;12;11;8;6;10;14;ab;13;15;18;16;9
46;0;ab;2;6;3;1;5;4;16;12;11;8;7;10;14;ab;13;17;18;15;9
47;0;ab;2;6;3;1;5;4;16;13;11;8;7;10;14;ab;12;17;18;15;9
48;0;ab;1;5;3;2;7;4;16;13;11;8;6;10;14;ab;12;17;18;15;9
49;0;ab;1;5;3;2;7;4;16;13;11;8;6;10;14;ab;12;17;18;15;9
50;0;ab;1;5;3;2;6;4;16;13;11;8;7;10;14;ab;12;15;18;17;9
51;0;ab;1;5;4;2;6;3;16;13;11;10;7;9;14;ab;12;15;18;17;8
52;0;ab;1;5;3;2;6;4;16;13;10;9;8;11;14;ab;12;15;18;17;7
53;0;ab;1;5;3;2;6;4;16;13;9;8;7;11;14;ab;12;15;18;17;10
54;0;ab;1;5;3;2;6;4;16;13;10;8;7;11;14;ab;12;15;18;17;9
55;0;ab;1;5;3;2;6;4;16;13;11;8;7;10;14;ab;12;15;18;17;9
56;0;ab;1;5;3;2;6;4;16;13;11;8;7;10;14;ab;12;15;18;17;9
57;0;ab;1;4;3;2;5;6;16;13;11;8;7;10;14;ab;12;15;18;17;9
58;0;ab;1;4;3;2;5;6;16;13;12;8;7;10;14;ab;11;15;18;17;9
59;0;ab;1;5;3;2;4;6;16;13;12;8;7;10;14;ab;11;15;18;17;9
60;0;ab;1;5;3;2;4;6;16;13;12;8;7;10;14;ab;11;15;18;17;9
61;0;ab;1;5;3;2;4;6;17;13;12;8;7;10;14;ab;11;15;18;16;9
62;0;ab;1;5;3;2;4;6;17;13;12;8;7;10;14;ab;11;15;18;16;9
63;0;ab;1;5;3;2;4;6;17;12;13;8;7;10;14;ab;11;15;18;16;9
64;0;ab;1;4;3;2;5;6;17;12;14;8;7;10;13;ab;11;15;18;16;9
65;0;ab;1;4;3;2;5;6;17;12;14;8;7;10;13;ab;11;15;18;16;9
