;sc;HAM;VET;BOT;RAI;VER;RIC;ALO;PER;MAS;OCO;MAG;SAI;HUL;GRO;WEH;ERI;PAL;STR;KVY;VAN
0;0;2;1;3;ab;19;4;11;5;18;6;8;9;7;10;12;15;14;13;17;16
1;0;2;1;3;ab;ab;4;11;5;18;6;8;9;7;10;12;14;16;13;17;15
2;0;2;1;3;ab;ab;4;11;5;18;6;8;9;7;10;12;14;17;13;16;15
3;0;2;1;3;ab;ab;4;11;5;18;6;8;9;7;10;12;14;17;13;16;15
4;0;2;1;3;ab;ab;4;11;5;18;6;8;9;7;10;12;14;17;13;16;15
5;0;2;1;3;ab;ab;4;11;5;18;6;8;9;7;10;12;14;17;13;16;15
6;0;2;1;3;ab;ab;4;11;5;18;6;8;9;7;10;12;14;17;13;16;15
7;0;2;1;3;ab;ab;4;11;5;18;6;8;9;7;10;12;14;17;13;16;15
8;0;2;1;3;ab;ab;4;11;5;18;6;8;9;7;10;12;14;17;13;16;15
9;0;2;1;3;ab;ab;4;11;5;18;6;8;9;7;10;12;14;17;13;16;15
10;0;2;1;3;ab;ab;4;11;5;18;6;8;9;7;10;12;14;17;13;16;15
11;0;2;1;3;ab;ab;4;11;5;18;6;8;9;7;10;12;13;17;14;16;15
12;0;2;1;3;ab;ab;4;14;5;18;6;9;10;7;8;11;12;16;15;13;17
13;0;1;2;3;ab;ab;4;14;5;18;6;12;13;7;8;9;10;16;15;11;17
14;0;1;4;2;ab;ab;3;14;5;18;6;11;13;7;8;9;10;16;15;12;17
15;0;1;3;2;ab;ab;4;14;5;18;6;11;12;10;7;8;9;16;15;13;17
16;0;1;3;2;ab;ab;4;14;5;18;9;11;12;10;6;7;8;16;15;13;17
17;0;1;3;2;ab;ab;4;14;5;18;8;11;12;9;6;7;10;16;15;13;17
18;0;1;3;2;ab;ab;4;13;7;18;8;10;11;9;5;6;15;16;14;12;17
19;0;1;3;2;ab;ab;4;13;6;18;7;9;10;8;11;5;15;17;14;12;16
