;sc;HAM;VET;ALO;BUT;LIU;MAS;WEB;KUB;SUT;ROS;BAR;HUL;MSC;PET;BUE;ALG;DLR;KOB;KOV;TRU;GLO;SEN;DGR;CHA
0;0;1;2;3;4;23;24;5;6;7;13;14;9;8;18;11;10;22;21;12;15;20;16;17;19
1;0;1;2;3;4;22;23;5;6;7;13;14;9;8;18;11;10;21;ab;12;15;20;17;16;19
2;0;1;2;3;4;22;23;5;6;7;13;14;9;8;18;11;10;21;ab;12;15;19;17;16;20
3;0;1;2;3;4;22;23;5;6;7;14;13;9;8;18;11;10;21;ab;12;15;19;17;16;20
4;0;1;2;3;5;22;23;4;6;8;19;13;9;7;15;10;11;21;ab;12;20;17;16;14;18
5;0;1;2;3;11;22;23;4;5;13;19;10;17;6;14;7;8;20;ab;9;21;16;15;12;18
6;0;8;1;7;9;22;23;2;3;11;18;16;15;4;12;5;14;20;ab;6;21;13;17;10;19
7;0;8;1;6;9;22;23;2;3;10;16;17;14;4;12;5;15;20;ab;7;21;13;18;11;19
8;0;6;1;5;8;22;23;2;9;10;16;17;14;3;12;4;15;19;ab;7;21;13;18;11;20
9;0;6;1;5;7;22;23;2;9;10;13;16;12;3;14;4;15;18;ab;8;21;17;19;11;20
10;0;6;1;5;7;21;22;2;8;9;13;23;12;3;15;4;14;17;ab;10;19;16;18;11;20
11;0;5;1;4;6;19;22;2;8;9;12;23;11;7;15;3;13;16;ab;10;20;17;18;14;21
12;0;4;1;3;5;17;20;6;8;9;12;23;11;7;18;2;13;15;ab;10;19;16;22;14;21
13;0;3;5;2;4;15;18;6;7;8;11;22;10;12;17;1;13;14;ab;9;19;16;ab;20;21
14;0;1;4;2;3;15;16;5;6;7;9;21;11;13;17;8;12;14;ab;10;18;22;ab;20;19
15;0;1;4;2;3;14;16;5;6;7;9;21;10;12;17;8;11;13;ab;15;18;22;ab;19;20
16;0;1;4;2;3;14;16;5;6;7;9;20;10;12;17;8;11;13;ab;15;18;22;ab;19;21
17;0;1;4;2;3;13;15;5;6;7;9;18;10;12;22;8;11;16;ab;14;17;21;ab;19;20
18;0;1;4;2;3;13;14;5;6;7;9;18;10;12;21;8;11;16;ab;15;17;20;ab;19;22
19;0;1;4;2;3;13;14;5;6;7;9;18;10;12;21;8;11;16;ab;15;17;20;ab;19;22
20;0;1;4;2;3;13;14;5;6;7;9;17;10;12;21;8;11;16;ab;15;18;20;ab;19;22
21;0;1;4;2;3;13;14;5;6;7;9;17;10;12;21;8;11;16;ab;15;18;20;ab;19;22
22;0;1;4;2;3;13;18;5;6;7;9;16;10;12;21;8;11;15;ab;14;17;20;ab;19;22
23;0;1;4;2;3;13;18;5;6;7;9;16;12;11;21;8;10;14;ab;15;17;20;ab;19;22
24;0;1;4;2;3;13;18;5;6;7;9;16;12;10;20;8;11;14;ab;15;17;21;ab;19;22
25;0;5;3;1;2;13;17;4;9;6;8;15;11;10;20;7;12;14;ab;16;18;21;ab;19;22
26;0;3;5;1;4;13;17;2;7;12;8;15;10;9;20;6;11;14;ab;16;18;21;ab;19;22
27;0;2;5;3;4;12;16;1;7;13;8;15;10;9;20;6;11;14;ab;17;18;21;ab;19;22
28;0;2;5;3;4;13;16;1;7;12;8;15;11;9;20;6;10;14;ab;17;18;21;ab;19;22
29;0;2;5;3;4;13;14;1;7;12;8;17;11;9;20;6;10;15;ab;16;18;21;ab;19;22
30;0;2;5;3;4;13;14;1;7;12;8;16;11;9;19;6;10;ab;ab;15;17;20;ab;18;21
31;0;2;5;3;4;13;14;1;7;12;8;15;11;9;19;6;10;ab;ab;16;17;21;ab;18;20
32;0;2;5;3;4;13;14;1;7;12;8;15;11;10;18;6;9;ab;ab;16;17;21;ab;19;20
33;0;2;5;3;4;13;14;1;7;12;8;15;11;10;18;6;9;ab;ab;16;17;21;ab;19;20
34;0;2;5;3;4;13;14;1;6;12;7;15;11;10;18;8;9;ab;ab;16;17;21;ab;19;20
35;0;2;5;3;4;13;14;1;6;12;7;15;11;10;18;8;9;ab;ab;16;17;21;ab;19;20
36;0;2;5;3;4;13;14;1;6;12;7;15;11;10;18;8;9;ab;ab;16;17;21;ab;19;20
37;0;2;5;3;4;13;14;1;6;12;7;15;11;10;18;8;9;ab;ab;16;17;21;ab;19;20
38;0;2;5;3;4;13;14;1;6;12;7;15;11;10;18;8;9;ab;ab;16;17;21;ab;19;20
39;0;2;5;3;4;13;14;1;6;12;7;15;11;10;17;8;9;ab;ab;16;19;20;ab;21;18
40;0;2;5;3;4;13;14;1;6;12;7;15;11;10;17;8;9;ab;ab;16;21;19;ab;20;18
41;0;2;5;3;4;13;14;1;6;11;7;15;10;9;17;8;12;ab;ab;16;21;19;ab;20;18
42;0;2;5;3;4;13;14;1;6;11;7;15;10;9;17;8;12;ab;ab;16;ab;19;ab;20;18
43;0;2;5;3;4;13;14;1;6;11;7;15;10;9;17;8;12;ab;ab;16;ab;19;ab;20;18
44;0;2;5;3;4;13;14;1;6;11;7;15;10;9;17;8;12;ab;ab;16;ab;18;ab;19;20
45;0;2;5;3;4;13;14;1;6;11;7;15;10;9;17;8;12;ab;ab;16;ab;18;ab;19;20
46;0;2;5;3;4;13;14;1;6;11;7;15;10;9;17;8;12;ab;ab;16;ab;18;ab;19;20
47;0;2;5;3;4;14;13;1;6;11;7;15;10;9;17;8;12;ab;ab;16;ab;20;ab;18;19
48;0;2;5;3;4;14;12;1;6;11;7;15;10;9;17;8;13;ab;ab;16;ab;20;ab;18;19
49;0;1;4;2;3;14;12;5;6;11;7;15;10;8;17;9;13;ab;ab;16;ab;20;ab;18;19
50;0;1;4;2;3;14;12;5;6;11;7;15;10;8;16;9;13;ab;ab;17;ab;ab;ab;18;19
51;0;1;4;2;3;14;12;5;6;11;7;15;10;8;16;9;13;ab;ab;17;ab;ab;ab;18;19
52;0;1;4;2;3;14;11;5;6;12;7;15;10;8;16;9;13;ab;ab;17;ab;ab;ab;18;19
53;0;1;4;2;3;14;11;5;6;12;7;15;10;8;16;9;13;ab;ab;17;ab;ab;ab;18;19
54;0;1;4;2;3;13;11;5;6;12;7;15;10;8;16;9;14;ab;ab;17;ab;ab;ab;18;19
55;0;1;4;3;2;13;11;5;6;12;7;15;10;8;17;9;14;ab;ab;16;ab;ab;ab;18;19
56;0;1;4;3;2;13;11;5;6;12;7;15;10;8;17;9;14;ab;ab;16;ab;ab;ab;19;18
57;0;1;4;3;2;11;10;5;6;12;7;15;14;8;17;9;13;ab;ab;16;ab;ab;ab;19;18
58;0;1;4;3;2;11;10;5;7;12;6;15;14;8;17;9;13;ab;ab;16;ab;ab;ab;19;18
59;0;1;4;3;2;11;10;5;7;12;6;15;14;9;17;8;13;ab;ab;16;ab;ab;ab;19;18
60;0;1;4;3;2;11;10;5;7;12;6;15;14;9;17;8;13;ab;ab;16;ab;ab;ab;19;18
61;0;1;4;3;2;11;10;5;7;12;6;15;14;9;17;8;13;ab;ab;16;ab;ab;ab;19;18
62;0;1;4;3;2;10;15;5;7;11;6;14;13;9;17;8;12;ab;ab;16;ab;ab;ab;19;18
63;0;1;4;3;2;10;15;5;7;11;6;14;13;9;17;8;12;ab;ab;16;ab;ab;ab;19;18
64;0;1;4;3;2;10;15;5;7;11;6;14;13;9;17;8;12;ab;ab;16;ab;ab;ab;19;18
65;0;1;4;3;2;10;15;5;7;11;6;14;13;9;17;8;12;ab;ab;16;ab;ab;ab;19;18
66;0;1;4;3;2;10;15;5;7;11;6;14;13;9;17;8;12;ab;ab;16;ab;ab;ab;19;18
67;0;1;4;3;2;10;15;5;7;11;6;14;13;9;17;8;12;ab;ab;16;ab;ab;ab;19;18
68;0;1;4;3;2;9;15;5;7;10;6;14;13;11;17;8;12;ab;ab;16;ab;ab;ab;19;18
69;0;1;4;3;2;9;15;5;7;10;6;14;13;11;17;8;12;ab;ab;16;ab;ab;ab;19;18
