;sc;WEB;ROS;VET;SUT;HUL;KUB;BAR;MSC;KOB;LIU;PET;DLR;BUE;ALG;KOV;GLO;BUT;TRU;ALO;HAM;MAS;CHA;SEN;DGR
0;0;2;3;1;5;7;4;22;6;10;8;9;np;12;11;21;18;15;17;16;13;14;23;20;19
1;0;2;3;1;5;7;4;17;6;10;8;9;np;13;11;21;19;16;18;15;12;14;22;23;20
2;0;2;3;1;5;7;4;17;6;10;8;9;np;13;12;19;ab;16;22;15;11;14;20;21;18
3;0;2;3;1;5;7;4;17;6;11;8;9;np;13;12;19;ab;16;22;15;10;14;20;21;18
4;0;2;3;1;5;7;4;17;6;11;8;10;np;13;12;19;ab;16;21;15;9;14;20;22;18
5;0;2;3;1;5;7;4;17;6;11;8;9;np;13;12;19;ab;16;20;15;10;14;21;22;18
6;0;2;3;1;5;7;4;17;6;11;8;10;np;13;12;19;ab;16;20;15;9;14;21;22;18
7;0;2;3;1;5;7;4;19;6;11;8;10;np;13;12;18;ab;16;20;15;9;14;21;22;17
8;0;2;3;1;5;7;4;16;6;ab;8;10;np;12;11;18;ab;15;19;14;9;13;20;21;17
9;0;2;3;1;5;6;4;15;ab;ab;7;9;np;11;10;17;ab;14;18;13;8;12;19;20;16
10;0;2;3;1;5;6;4;15;ab;ab;7;9;np;11;10;20;ab;14;17;13;8;12;18;19;16
11;0;2;3;1;5;6;4;14;ab;ab;20;8;np;10;9;19;ab;13;16;12;7;11;17;18;15
12;0;2;3;1;5;7;4;14;ab;ab;ab;10;np;9;8;19;ab;13;16;12;6;11;17;18;15
13;0;2;3;1;5;12;4;14;ab;ab;ab;13;np;10;7;19;ab;11;16;9;6;8;17;18;15
14;0;2;3;1;5;11;4;14;ab;ab;ab;12;np;13;7;19;ab;10;16;9;6;8;17;18;15
15;0;2;3;1;5;11;4;14;ab;ab;ab;12;np;13;7;19;ab;10;16;9;6;8;18;17;15
16;0;2;3;1;5;11;4;14;ab;ab;ab;12;np;13;7;19;ab;10;16;9;6;8;17;18;15
17;0;2;3;1;5;11;4;14;ab;ab;ab;12;np;13;7;19;ab;10;16;9;6;8;17;18;15
18;0;2;3;1;5;11;4;14;ab;ab;ab;12;np;13;9;19;ab;10;16;8;6;7;17;18;15
19;0;2;3;1;5;10;4;14;ab;ab;ab;11;np;13;12;19;ab;9;16;8;6;7;17;18;15
20;0;2;3;1;8;10;4;14;ab;ab;ab;11;np;13;12;19;ab;9;16;7;5;6;17;18;15
21;0;2;3;1;8;10;5;14;ab;ab;ab;13;np;12;11;19;ab;9;16;7;4;6;17;18;15
22;0;1;4;2;8;10;5;14;ab;ab;ab;13;np;12;11;19;ab;9;16;7;3;6;17;18;15
23;0;1;4;2;8;10;5;14;ab;ab;ab;13;np;12;11;19;ab;9;16;7;3;6;17;18;15
24;0;3;4;1;8;10;5;14;ab;ab;ab;13;np;12;11;19;ab;9;16;7;2;6;17;18;15
25;0;3;4;1;8;10;5;14;ab;ab;ab;13;np;12;11;19;ab;9;16;6;2;7;17;18;15
26;0;3;4;1;7;10;5;14;ab;ab;ab;13;np;12;11;19;ab;8;16;6;2;9;17;18;15
27;0;3;4;1;7;10;5;14;ab;ab;ab;13;np;12;11;19;ab;8;16;6;2;9;17;18;15
28;0;3;4;1;7;10;5;14;ab;ab;ab;13;np;12;11;19;ab;8;16;6;2;9;17;18;15
29;0;2;4;1;7;10;5;14;ab;ab;ab;13;np;12;11;19;ab;8;16;6;3;9;17;18;15
30;0;2;3;1;6;11;4;14;ab;ab;ab;13;np;12;10;19;ab;8;16;5;7;9;17;18;15
31;0;2;3;1;6;11;4;14;ab;ab;ab;13;np;12;10;19;ab;8;16;5;7;9;17;18;15
32;0;2;3;1;6;11;4;13;ab;ab;ab;ab;np;12;10;18;ab;8;15;5;7;9;16;17;14
33;0;2;3;1;6;11;4;13;ab;ab;ab;ab;np;12;10;18;ab;8;15;5;7;9;16;17;14
34;0;2;3;1;6;11;4;12;ab;ab;ab;ab;np;13;10;18;ab;8;15;5;7;9;16;17;14
35;0;2;3;1;5;11;4;12;ab;ab;ab;ab;np;13;10;18;ab;8;15;7;6;9;16;17;14
36;0;2;3;1;5;11;4;12;ab;ab;ab;ab;np;13;10;18;ab;7;15;9;6;8;16;17;14
37;0;2;3;1;5;11;4;12;ab;ab;ab;ab;np;13;10;18;ab;7;15;9;6;8;16;17;14
38;0;2;3;1;5;11;4;12;ab;ab;ab;ab;np;13;10;18;ab;7;15;9;6;8;16;17;14
39;0;2;3;1;5;11;4;12;ab;ab;ab;ab;np;13;10;18;ab;7;15;9;6;8;16;17;14
40;0;2;3;1;5;11;4;12;ab;ab;ab;ab;np;13;10;18;ab;7;15;9;6;8;16;17;14
41;0;2;3;1;5;11;4;12;ab;ab;ab;ab;np;13;10;18;ab;7;16;9;6;8;15;17;14
42;0;2;3;1;5;11;4;13;ab;ab;ab;ab;np;12;10;18;ab;7;16;9;6;8;15;17;14
43;0;2;3;1;5;11;4;13;ab;ab;ab;ab;np;12;10;18;ab;8;16;9;6;7;15;17;14
44;0;2;3;1;5;11;4;13;ab;ab;ab;ab;np;12;10;18;ab;8;17;9;6;7;15;16;14
45;0;2;3;1;5;11;4;13;ab;ab;ab;ab;np;12;10;18;ab;8;17;9;6;7;15;16;14
46;0;2;3;1;5;11;4;13;ab;ab;ab;ab;np;12;10;nc;ab;8;17;9;6;7;15;16;14
