;sc;ROS;HAM;MAS;BOT;BUT;VET;MAG;ALO;RIC;RAI;GUT;HUL;SUT;GRO;VER;MAL;KVY;PER
0;0;1;2;3;4;5;8;6;7;9;11;10;12;18;14;16;17;13;15
1;0;1;2;3;4;5;8;6;7;9;11;10;12;18;14;16;17;13;15
2;0;1;2;3;4;5;8;6;7;9;11;10;12;18;14;16;17;13;15
3;0;1;2;3;4;5;8;6;7;9;11;10;12;17;14;16;18;13;15
4;0;1;2;5;3;4;8;6;7;9;11;10;12;16;14;15;18;13;17
5;0;1;2;16;4;5;12;3;6;7;9;8;10;15;13;14;18;11;17
6;0;2;1;13;14;15;16;4;7;9;5;3;6;12;11;10;18;8;17
7;0;8;1;10;11;12;15;13;14;16;7;5;2;9;6;4;18;3;17
8;0;3;5;7;9;10;13;11;12;14;16;15;1;8;4;6;18;2;17
9;0;3;4;6;7;9;12;10;11;13;14;15;1;8;5;17;18;2;16
10;0;2;4;6;7;9;12;10;11;13;14;15;1;8;5;17;18;3;16
11;0;2;3;6;7;8;12;10;11;13;14;15;1;9;5;17;18;4;16
12;0;2;3;5;7;8;12;10;11;13;14;15;1;9;6;17;18;4;16
13;0;1;3;5;6;8;12;9;11;13;14;15;2;10;7;17;18;4;16
14;0;1;3;5;6;7;12;9;11;13;14;15;2;10;8;17;18;4;16
15;0;1;2;4;5;7;12;9;11;13;14;15;6;10;8;17;18;3;16
16;0;1;2;3;5;6;11;8;9;12;13;14;15;10;7;17;18;4;16
17;0;1;2;3;4;5;10;8;9;11;12;14;15;13;6;17;18;7;16
18;0;1;2;3;4;5;9;7;8;10;11;12;13;18;6;15;16;17;14
19;0;1;2;3;4;5;9;7;8;10;11;12;13;18;6;15;16;17;14
20;0;1;2;3;4;5;9;7;8;10;11;12;13;18;6;15;16;17;14
21;0;1;2;3;4;5;9;6;8;10;11;12;13;18;7;15;17;16;14
22;0;1;2;3;4;5;9;6;8;10;11;12;13;18;7;15;17;16;14
23;0;1;2;3;4;5;10;6;7;8;9;12;13;18;11;15;17;16;14
24;0;1;2;5;3;4;16;6;7;8;9;10;11;18;17;12;15;13;14
25;0;2;1;13;4;3;15;8;5;6;7;9;10;17;16;11;14;12;18
26;0;2;1;10;14;3;12;13;4;6;5;9;7;17;16;11;15;8;18
27;0;2;1;7;12;8;9;10;4;11;3;15;5;14;13;17;18;6;16
28;0;1;2;5;12;7;8;9;10;11;3;15;4;14;13;17;18;6;16
29;0;1;2;5;12;7;8;9;10;11;3;15;4;14;13;17;18;6;16
30;0;1;2;5;12;6;8;9;10;11;3;15;4;14;13;17;18;7;16
31;0;1;2;5;12;6;8;9;10;11;3;15;4;14;13;17;18;7;16
32;0;1;2;5;12;6;8;9;10;11;3;15;4;14;13;17;18;7;16
33;0;1;2;5;12;6;8;9;10;11;3;15;4;14;13;17;18;7;16
34;0;1;2;4;12;6;8;9;10;11;5;15;3;14;13;17;18;7;16
35;0;1;2;3;11;5;7;8;9;10;13;15;4;14;12;17;18;6;16
36;0;1;2;3;10;4;5;7;8;9;12;15;11;14;13;17;18;6;16
37;0;1;2;3;10;4;5;6;7;8;12;15;11;14;13;17;18;9;16
38;0;1;2;3;8;4;5;6;7;18;10;12;9;15;11;14;16;17;13
39;0;1;2;3;8;4;5;6;7;ab;10;11;9;17;12;14;16;15;13
40;0;1;2;3;8;4;5;6;7;ab;10;11;9;17;16;13;15;14;12
41;0;1;2;3;10;4;5;6;7;ab;9;11;8;17;16;13;15;14;12
42;0;1;2;3;16;4;5;6;7;ab;9;10;8;17;15;12;14;13;11
43;0;1;2;3;16;4;5;6;7;ab;9;10;8;17;15;13;14;12;11
44;0;1;2;3;16;4;5;7;6;ab;9;10;8;17;15;13;14;12;11
45;0;1;2;3;15;4;5;7;6;ab;9;10;8;16;14;13;17;12;11
46;0;1;2;3;14;4;5;8;6;ab;9;10;7;15;13;17;16;11;12
47;0;1;2;3;13;4;6;11;5;ab;8;10;7;14;12;16;15;9;17
48;0;1;2;3;12;4;8;10;5;ab;7;13;6;14;11;16;15;9;17
49;0;2;1;3;12;4;8;10;5;ab;7;13;6;16;11;15;14;9;17
50;0;2;1;5;12;7;8;10;3;ab;6;13;4;17;11;15;14;9;16
51;0;1;2;5;12;7;8;10;3;ab;6;13;4;17;11;15;14;9;16
52;0;1;2;4;12;6;7;10;9;ab;5;13;3;17;11;15;14;8;16
53;0;1;2;3;12;6;7;10;8;ab;5;14;4;17;11;15;13;9;16
54;0;1;2;3;12;6;7;10;8;ab;5;15;4;17;11;14;13;9;16
55;0;1;2;3;12;6;7;10;8;ab;5;15;4;17;11;14;13;9;16
56;0;1;2;3;12;6;7;10;8;ab;5;15;4;17;11;14;13;9;16
57;0;1;2;3;12;6;7;10;8;ab;5;15;4;17;11;14;13;9;16
58;0;1;2;3;11;6;7;9;8;ab;5;15;4;17;12;14;13;10;16
59;0;1;2;3;10;6;7;9;8;ab;5;14;4;17;16;13;11;12;15
60;0;1;2;3;10;4;5;8;7;ab;6;14;9;17;16;13;11;12;15
