;sc;MSC;MON;RAI;COU;ALO;TRU;BAR;SAT;PAN;PIZ;WEB;KLI;BUT;FIS;DMA;MAS;PTO;HEI;BRU;BAU
0;0;1;7;3;5;2;4;20;9;19;8;6;10;12;13;11;15;14;16;18;17
1;0;1;7;3;5;2;4;20;9;18;8;6;10;11;13;12;15;14;16;19;17
2;0;1;7;2;5;3;4;20;9;17;8;6;10;11;13;12;15;14;16;19;18
3;0;1;6;2;5;3;4;20;9;17;8;7;11;10;13;12;15;14;16;19;18
4;0;1;6;2;5;3;4;20;9;17;8;7;11;10;13;12;15;14;16;19;18
5;0;1;6;2;5;3;4;19;9;17;8;7;11;10;13;12;15;14;16;20;18
6;0;1;6;2;5;3;4;19;9;16;8;7;11;10;13;12;15;14;17;20;18
7;0;1;6;2;5;3;4;19;9;16;8;7;11;10;13;12;15;14;17;20;18
8;0;1;6;2;5;4;3;18;8;16;10;7;11;9;13;12;15;14;17;20;19
9;0;1;4;2;5;10;3;18;8;15;16;6;9;7;12;11;14;13;17;20;19
10;0;5;2;1;9;7;8;18;14;15;13;3;6;4;10;17;12;11;16;20;19
11;0;3;9;4;7;6;8;16;13;17;12;2;5;1;10;15;11;19;14;20;18
12;0;2;7;3;6;4;8;16;13;17;12;10;5;1;9;15;11;20;14;19;18
13;0;2;5;ab;4;3;6;15;11;16;10;8;12;1;7;14;9;19;13;18;17
14;0;1;4;ab;3;2;6;15;11;16;10;7;12;5;8;14;9;19;13;18;17
15;0;1;4;ab;3;2;6;14;11;16;10;7;12;5;8;15;9;17;13;18;19
16;0;1;4;ab;3;2;6;13;10;16;11;7;12;5;8;15;9;17;14;19;18
17;0;1;4;ab;3;2;6;13;10;15;11;7;12;5;8;14;9;17;16;19;18
18;0;1;4;ab;3;2;6;13;9;15;11;7;12;5;8;14;10;17;16;19;18
19;0;1;4;ab;3;2;6;13;9;15;11;7;12;5;8;14;10;17;16;19;18
20;0;1;5;ab;3;2;6;13;8;15;11;7;12;4;10;14;9;17;16;19;18
21;0;1;5;ab;3;2;6;12;7;14;10;8;11;4;15;13;9;17;16;19;18
22;0;1;5;ab;3;2;6;12;7;13;9;8;11;4;14;15;10;17;16;19;18
23;0;1;5;ab;3;2;6;14;7;11;9;8;10;4;12;15;13;17;16;19;18
24;0;1;5;ab;3;2;6;14;7;11;9;8;10;4;12;15;13;17;16;19;18
25;0;1;5;ab;3;2;8;14;6;11;9;7;10;4;12;15;13;17;16;19;18
26;0;1;5;ab;3;2;8;14;7;11;9;6;10;4;12;15;13;17;16;19;18
27;0;1;7;ab;4;2;8;14;11;10;9;5;6;3;12;15;13;17;16;19;18
28;0;3;7;ab;4;1;15;13;8;9;12;5;6;2;10;14;11;17;16;19;18
29;0;2;6;ab;4;3;14;11;7;15;10;8;5;1;9;13;12;17;16;19;18
30;0;2;5;ab;4;3;14;11;8;15;10;7;6;1;9;13;12;17;16;19;18
31;0;2;5;ab;4;3;14;11;7;15;9;6;10;1;8;13;12;17;16;19;18
32;0;2;5;ab;4;3;14;11;7;15;9;6;10;1;8;13;12;17;16;19;18
33;0;2;5;ab;4;3;14;11;7;15;9;6;10;1;8;12;13;17;16;19;18
34;0;1;5;ab;4;2;14;11;7;15;9;6;10;3;8;12;13;17;16;19;18
35;0;1;5;ab;4;2;14;11;7;15;9;6;10;3;8;12;13;17;16;19;18
36;0;1;5;ab;4;2;14;11;7;15;9;6;10;3;8;12;13;17;16;19;18
37;0;1;5;ab;4;2;13;11;7;15;9;6;10;3;8;12;14;17;16;19;18
38;0;1;5;ab;4;2;12;11;7;14;9;6;10;3;8;ab;13;16;15;18;17
39;0;1;5;ab;4;2;12;11;7;14;9;6;10;3;8;ab;13;15;16;18;17
40;0;1;5;ab;4;2;12;11;7;14;9;6;10;3;8;ab;13;15;16;18;17
41;0;1;5;ab;4;2;12;11;7;14;9;6;10;3;8;ab;13;15;16;18;17
42;0;1;5;ab;4;2;12;10;7;14;9;6;11;3;8;ab;13;15;ab;17;16
43;0;1;5;ab;4;2;12;10;7;14;8;6;11;3;9;ab;13;15;ab;17;16
44;0;1;5;ab;4;2;11;9;7;13;8;6;10;3;12;ab;14;15;ab;17;16
45;0;1;5;ab;4;2;13;8;6;12;7;10;9;3;11;ab;14;15;ab;17;16
46;0;1;5;ab;4;3;13;11;6;12;9;8;7;2;10;ab;14;15;ab;17;16
47;0;2;4;ab;5;3;13;11;6;12;9;7;8;1;10;ab;14;15;ab;17;16
48;0;2;5;ab;4;3;12;9;7;14;8;6;11;1;10;ab;13;15;ab;17;16
49;0;2;5;ab;4;3;12;9;7;14;8;6;11;1;10;ab;13;15;ab;17;16
50;0;1;5;ab;4;2;12;9;7;14;8;6;11;3;10;ab;13;15;ab;17;16
51;0;1;5;ab;4;3;12;9;7;14;8;6;11;2;10;ab;13;15;ab;17;16
52;0;1;5;ab;4;3;12;9;7;14;8;6;11;2;10;ab;13;15;ab;17;16
53;0;1;5;ab;4;3;12;9;7;14;8;6;11;2;10;ab;13;15;ab;17;16
54;0;1;5;ab;4;3;12;9;7;14;8;6;11;2;10;ab;13;15;ab;17;16
55;0;1;5;ab;4;3;12;9;7;14;8;6;11;2;10;ab;13;15;ab;17;16
56;0;1;5;ab;4;3;12;9;7;14;8;6;11;2;10;ab;13;15;ab;17;16
57;0;1;5;ab;4;3;12;9;7;14;8;6;11;2;10;ab;13;15;ab;17;16
58;0;1;5;ab;4;3;12;9;7;14;8;6;11;2;10;ab;13;15;ab;17;16
59;0;1;5;ab;4;3;12;9;8;14;7;6;11;2;10;ab;13;15;ab;17;16
60;0;1;5;ab;4;3;12;9;8;14;7;6;11;2;10;ab;13;15;ab;17;16
61;0;1;5;ab;4;3;12;9;8;14;7;6;11;2;10;ab;13;15;ab;17;16
62;0;1;5;ab;4;3;12;9;8;14;7;6;11;2;10;ab;13;15;ab;17;16
63;0;1;5;ab;4;3;12;9;8;14;7;6;11;2;10;ab;13;15;ab;17;16
64;0;1;5;ab;4;3;12;9;8;14;7;6;11;2;10;ab;13;15;ab;17;16
65;0;1;5;ab;4;3;11;12;8;14;7;6;10;2;9;ab;13;15;ab;17;16
