;sc;ALO;BUT;MON;TRU;BAR;FIS;SAT;RSC;MSC;VIL;WEB;RAI;COU;HEI;KLI;MAS;KAR;ALB;FRI;MTR
0;1;2;3;1;6;4;5;20;9;7;10;11;8;14;13;12;15;16;18;19;17
1;1;2;3;1;6;4;5;20;9;7;10;11;8;14;13;12;15;16;18;19;17
2;0;2;3;1;6;4;5;20;9;7;10;11;8;14;13;12;15;16;18;19;17
3;0;2;3;1;6;4;5;20;9;7;10;11;8;14;13;12;15;16;18;19;17
4;0;2;3;1;6;4;5;20;9;7;10;11;8;14;13;12;15;16;18;19;17
5;0;2;3;1;6;4;5;20;9;7;10;11;8;14;13;12;15;16;18;19;17
6;0;2;3;1;6;4;5;20;9;7;10;11;8;14;13;12;15;16;18;19;17
7;0;2;3;1;6;4;5;20;9;7;10;11;8;14;13;12;15;16;18;19;17
8;0;2;3;1;6;4;5;20;9;7;10;11;8;14;12;13;15;16;18;19;17
9;0;2;3;1;6;4;5;20;9;7;10;11;8;14;12;13;15;16;18;19;17
10;0;2;3;1;6;4;5;19;9;7;10;11;8;13;12;15;14;ab;17;18;16
11;0;2;3;1;6;4;5;19;9;7;10;11;8;13;12;18;14;ab;16;17;15
12;0;2;3;1;6;4;5;19;9;7;10;11;8;13;12;18;14;ab;16;17;15
13;0;2;3;1;6;4;5;19;9;7;10;11;8;13;12;18;14;ab;16;17;15
14;0;2;3;1;6;4;5;19;9;7;10;11;8;13;12;17;14;ab;16;18;15
15;0;2;3;1;6;4;5;19;9;7;10;11;8;13;12;16;14;ab;17;18;15
16;0;2;3;1;6;5;4;19;9;7;10;11;8;13;12;16;14;ab;18;17;15
17;0;2;3;1;5;9;4;19;8;6;10;11;7;13;12;16;14;ab;17;18;15
18;0;2;3;1;5;9;4;19;8;6;11;10;7;14;13;16;12;ab;17;18;15
19;0;2;3;1;8;9;4;19;7;5;15;10;6;14;12;16;11;ab;17;18;13
20;0;2;6;1;10;7;3;19;8;4;15;11;5;14;12;16;9;ab;17;18;13
21;0;1;6;2;9;7;3;19;10;4;14;11;5;15;12;16;8;ab;17;18;13
22;0;1;6;3;9;7;2;19;10;4;13;11;5;15;12;14;8;ab;17;18;16
23;0;3;6;2;9;7;1;19;10;5;13;11;4;15;12;14;8;ab;17;18;16
24;0;3;5;2;8;6;1;19;9;7;13;10;4;15;12;14;11;ab;17;18;16
25;0;2;5;1;8;6;3;19;9;7;13;10;4;15;12;14;11;ab;17;18;16
26;0;2;4;1;8;5;3;19;9;7;13;10;6;15;12;14;11;ab;17;18;16
27;0;2;4;1;8;5;3;19;9;7;13;10;6;15;12;14;11;ab;17;18;16
28;0;2;4;1;8;5;3;19;9;7;13;10;6;15;12;14;11;ab;17;18;16
29;0;2;4;1;8;5;3;18;9;7;13;10;6;15;12;14;11;ab;17;19;16
30;0;2;4;1;8;5;3;18;9;7;13;10;6;15;12;14;11;ab;17;19;16
31;0;2;4;1;8;5;3;19;9;7;13;10;6;15;12;14;11;ab;17;18;16
32;0;2;4;1;8;7;3;19;9;6;13;10;5;15;12;14;11;ab;17;18;16
33;0;2;4;1;8;7;3;19;9;6;13;10;5;15;12;14;11;ab;17;18;16
34;0;2;4;1;8;7;3;19;9;6;13;10;5;15;12;14;11;ab;17;18;16
35;0;2;4;1;8;7;3;18;9;6;13;10;5;15;12;14;11;ab;17;19;16
36;0;2;4;1;8;7;3;17;9;6;13;10;5;15;12;14;11;ab;19;18;16
37;0;2;4;1;8;7;3;17;9;6;13;10;5;15;12;14;11;ab;19;18;16
38;0;2;4;1;8;7;3;17;9;6;14;10;5;13;12;15;11;ab;18;19;16
39;0;2;4;1;8;7;3;17;9;6;14;10;5;13;12;15;11;ab;18;19;16
40;0;2;4;1;8;7;3;17;9;6;14;10;5;13;12;15;11;ab;18;19;16
41;0;2;4;1;8;7;3;17;9;6;14;10;5;12;13;15;11;ab;18;19;16
42;0;2;5;1;10;7;3;17;8;6;14;11;4;12;13;15;9;ab;18;19;16
43;0;2;5;1;10;7;3;17;8;6;14;11;4;12;13;15;9;ab;18;19;16
44;0;1;5;3;10;7;2;17;8;6;14;11;4;12;13;15;9;ab;18;19;16
45;0;1;5;3;10;8;2;17;7;6;14;11;4;12;13;15;9;ab;18;19;16
46;0;1;5;2;10;8;4;17;6;7;14;11;3;12;13;15;9;ab;18;19;16
47;0;1;5;2;9;7;4;17;8;6;14;11;3;13;12;15;10;ab;18;19;16
48;0;1;5;2;9;7;4;17;8;6;14;11;3;13;12;15;10;ab;18;19;16
49;0;2;5;1;9;7;4;17;8;6;14;11;3;13;12;15;10;ab;18;19;16
50;0;2;5;1;9;7;4;16;8;6;14;11;3;13;12;15;10;ab;18;19;17
51;0;2;5;1;9;7;4;16;8;6;14;11;3;13;12;15;10;ab;18;19;17
52;0;2;5;1;9;7;4;16;8;6;14;11;3;13;12;15;10;ab;18;19;17
53;0;2;5;1;9;7;4;16;8;6;14;11;3;13;12;15;10;ab;18;19;17
54;0;2;5;1;9;7;4;16;8;6;14;11;3;13;12;15;10;ab;18;19;17
55;0;2;5;1;9;7;4;16;8;6;14;11;3;13;12;15;10;ab;18;19;17
56;0;2;5;1;9;7;4;16;8;6;14;11;3;13;12;15;10;ab;18;19;17
57;0;2;5;1;9;7;4;16;8;6;14;11;3;13;12;15;10;ab;18;19;17
58;0;2;5;1;9;7;4;16;8;6;14;11;3;13;12;15;10;ab;18;19;17
59;0;2;5;1;9;7;4;16;8;6;14;11;3;13;12;15;10;ab;18;19;17
