;sc;FIS;TRU;WEB;VIL;COU;KLI;HEI;BUT;MON;RAI;BAR;KAR;ALO;MTR;RSC;FRI;ALB;MAS;MSC;SAT
0;0;1;2;4;9;3;6;5;11;7;16;8;18;10;17;12;19;20;13;15;14
1;0;1;2;4;9;3;6;5;11;7;16;8;18;10;17;12;19;20;13;15;14
2;0;1;2;4;9;3;6;5;11;7;16;8;18;10;17;12;19;20;13;15;14
3;0;1;2;4;9;3;6;5;11;7;16;8;18;10;17;12;19;20;13;15;14
4;0;1;2;4;9;3;6;5;11;7;16;8;18;10;17;12;19;20;13;15;14
5;0;1;2;4;9;3;6;5;11;7;16;8;18;10;17;12;19;20;13;15;14
6;0;1;2;4;9;3;6;5;11;7;16;8;18;10;17;12;19;20;13;15;14
7;0;1;2;4;9;3;6;5;11;7;16;8;18;10;17;12;19;20;13;15;14
8;0;1;2;4;9;3;6;5;11;7;16;8;18;10;17;12;19;20;13;15;14
9;0;1;2;4;9;3;6;5;11;7;16;8;18;10;17;12;19;20;13;15;14
10;0;1;2;4;9;3;6;5;11;7;16;8;18;10;17;12;19;20;13;15;14
11;0;1;2;4;9;3;6;5;11;7;16;8;18;10;17;12;19;20;13;15;14
12;0;1;2;4;9;3;6;5;11;7;16;8;18;10;17;12;19;20;13;15;14
13;0;1;2;4;9;3;6;5;11;7;16;8;18;10;17;12;19;20;13;15;14
14;0;1;2;4;9;3;6;5;11;7;16;8;18;10;17;12;20;19;13;15;14
15;0;1;2;4;9;3;6;5;11;7;16;8;18;10;17;12;20;19;13;15;14
16;0;1;2;4;10;3;6;5;11;7;16;8;18;9;17;12;19;ab;13;15;14
17;0;1;7;3;10;2;4;9;11;5;16;6;17;8;18;12;19;ab;13;15;14
18;0;1;8;3;9;2;4;11;10;5;15;6;17;7;18;16;19;ab;12;14;13
19;0;1;7;5;9;2;8;11;10;3;14;4;17;6;18;15;19;ab;12;13;16
20;0;1;7;6;8;4;9;10;14;2;13;3;17;5;18;16;19;ab;11;12;15
21;0;1;7;6;13;5;8;9;14;2;11;3;17;4;18;16;19;ab;12;10;15
22;0;1;7;5;13;4;8;9;14;6;11;2;17;3;18;16;19;ab;12;10;15
23;0;2;7;5;13;4;8;9;14;6;11;1;17;3;18;16;19;ab;12;10;15
24;0;1;7;4;13;3;8;9;14;6;12;2;17;5;18;16;19;ab;11;10;15
25;0;1;6;3;13;2;8;9;14;5;12;4;17;7;18;16;19;ab;10;11;15
26;0;1;6;3;12;2;8;9;13;5;10;4;17;7;18;16;19;ab;14;11;15
27;0;1;6;3;12;2;8;9;13;5;10;4;17;7;18;16;19;ab;15;11;14
28;0;1;6;3;12;2;8;9;13;5;10;4;17;7;18;16;19;ab;15;11;14
29;0;1;7;3;12;2;8;9;13;5;10;4;17;6;18;16;19;ab;15;11;14
30;0;1;7;3;12;2;8;9;13;5;10;4;17;6;18;16;19;ab;15;11;14
31;0;1;7;3;12;2;8;9;13;5;10;4;17;6;18;16;19;ab;15;11;14
32;0;1;7;3;12;2;8;9;13;5;10;4;17;6;18;16;19;ab;15;11;14
33;0;1;7;3;12;2;8;9;13;5;10;4;17;6;18;16;19;ab;15;11;14
34;0;1;7;3;12;2;8;9;13;5;10;4;17;6;18;16;19;ab;15;11;14
35;0;1;11;3;12;2;7;8;13;5;9;4;17;6;18;16;19;ab;15;10;14
36;0;1;11;3;12;2;7;8;13;5;9;4;17;6;18;16;19;ab;15;10;14
37;0;1;11;3;12;2;7;8;13;5;9;4;17;6;18;16;19;ab;15;10;14
38;0;1;11;6;16;2;7;8;12;4;10;3;17;5;18;15;19;ab;14;9;13
39;0;1;12;6;15;2;8;9;11;4;10;3;17;5;18;16;19;ab;13;7;14
40;0;1;11;6;15;2;8;9;13;4;10;3;17;5;18;16;19;ab;12;7;14
41;0;1;11;6;15;4;7;9;13;5;10;2;17;3;18;16;19;ab;12;8;14
42;0;2;9;5;13;4;7;ab;11;6;8;3;15;1;16;14;17;ab;10;ab;12
43;0;2;9;5;13;4;7;ab;11;6;8;3;15;1;16;14;17;ab;10;ab;12
44;0;1;9;5;13;4;7;ab;11;6;8;3;15;2;16;14;17;ab;10;ab;12
45;0;1;9;5;13;4;7;ab;11;6;8;2;15;3;16;14;17;ab;10;ab;12
46;0;1;9;5;13;4;7;ab;11;6;8;2;15;3;16;14;17;ab;10;ab;12
47;0;1;9;5;14;4;7;ab;11;6;8;2;15;3;16;13;17;ab;10;ab;12
48;0;1;9;5;14;4;7;ab;11;6;8;2;15;3;16;13;17;ab;10;ab;12
49;0;1;9;5;14;4;7;ab;11;6;8;2;15;3;16;13;17;ab;10;ab;12
50;0;1;9;5;14;4;7;ab;11;6;8;2;15;3;16;13;17;ab;10;ab;12
51;0;1;9;5;14;4;7;ab;11;6;8;2;15;3;16;13;17;ab;10;ab;12
52;0;1;9;5;14;4;7;ab;11;6;8;2;15;3;16;13;17;ab;10;ab;12
53;0;1;9;5;14;4;7;ab;11;6;8;2;15;3;16;12;17;ab;10;ab;13
54;0;1;9;5;14;4;7;ab;11;6;8;2;15;3;16;12;17;ab;10;ab;13
55;0;1;9;5;13;4;7;ab;11;6;8;2;15;3;16;12;17;ab;10;ab;14
56;0;1;9;5;13;4;7;ab;11;6;8;2;15;3;16;12;17;ab;10;ab;14
