;sc;VET;HAM;BOT;ROS;WEB;ALO;VER;SUT;HUL;RAI;RIC;PER;MAL;BUT;GUT;MAS;DRE;PIC;BIA;CHI;VDG;GRO
0;0;1;2;6;3;4;5;7;8;11;10;9;12;13;15;18;14;16;19;21;22;17;20
1;0;1;2;6;3;4;5;7;8;11;10;9;12;14;15;18;13;16;19;21;22;17;20
2;0;1;2;6;3;4;5;7;8;11;10;9;12;14;15;18;13;16;19;21;22;17;20
3;0;1;2;6;3;4;5;7;8;11;10;9;12;14;15;17;13;16;19;21;22;18;20
4;0;1;2;6;3;4;5;7;8;11;10;9;12;14;15;17;13;16;20;21;22;18;19
5;0;1;2;7;3;4;5;6;13;10;9;8;11;15;14;17;12;16;20;21;22;19;18
6;0;1;2;7;3;4;5;6;13;10;9;8;11;15;14;17;12;16;19;21;22;20;18
7;0;1;2;7;3;4;5;6;13;10;9;8;12;15;14;17;11;16;19;20;21;22;18
8;0;1;2;7;3;4;5;6;20;11;9;8;12;14;13;16;10;15;18;19;21;22;17
9;0;1;2;7;3;4;5;6;20;11;9;8;12;15;13;16;10;14;19;18;21;22;17
10;0;1;2;7;3;4;5;6;19;11;9;8;12;15;13;16;10;14;22;18;20;21;17
11;0;1;2;7;3;4;5;6;16;17;8;15;10;20;12;13;9;11;22;18;19;21;14
12;0;1;2;6;3;5;4;7;14;16;8;18;15;20;11;13;9;10;22;17;19;21;12
13;0;1;2;13;4;5;3;7;14;16;6;17;15;19;10;12;8;9;22;18;20;21;11
14;0;1;2;13;4;5;3;7;14;16;6;17;15;19;11;12;8;9;22;18;20;21;10
15;0;2;1;14;3;4;5;7;13;16;6;17;15;18;11;12;8;9;21;19;20;22;10
16;0;2;1;13;3;4;5;7;12;16;6;17;15;19;10;11;14;8;21;18;20;22;9
17;0;2;1;13;3;4;5;7;11;16;6;17;15;19;10;12;14;8;21;18;20;22;9
18;0;1;2;14;3;4;5;7;11;16;6;17;15;19;10;13;12;8;21;18;20;22;9
19;0;1;2;13;3;4;5;7;11;16;6;17;15;19;10;14;12;8;21;18;20;22;9
20;0;1;2;13;3;4;5;7;11;15;6;16;14;19;10;18;12;8;21;17;20;22;9
21;0;1;2;12;3;4;5;6;10;15;14;16;13;19;9;18;11;7;21;17;20;22;8
22;0;1;2;12;3;4;5;6;9;15;14;16;13;19;10;17;11;7;21;18;20;22;8
23;0;1;2;12;3;4;5;6;9;15;14;16;13;19;11;17;10;7;21;18;20;22;8
24;0;1;2;12;3;4;5;6;9;15;14;16;13;19;11;17;10;7;21;18;20;22;8
25;0;1;2;11;3;4;5;6;9;15;14;16;13;18;12;17;10;7;21;19;20;22;8
26;0;1;2;11;3;4;5;6;9;14;13;15;12;18;16;17;10;7;21;19;20;22;8
27;0;1;2;11;3;4;5;6;9;14;13;15;12;18;16;17;10;7;21;19;20;22;8
28;0;1;2;11;3;4;5;6;9;14;13;15;12;18;16;17;10;7;21;19;20;22;8
29;0;1;2;11;5;3;4;6;9;14;13;15;12;18;16;17;10;7;21;19;20;22;8
30;0;1;2;11;5;3;4;6;9;14;13;15;12;18;16;17;10;7;21;19;20;22;8
31;0;1;2;11;5;3;4;6;9;14;13;15;12;18;16;17;10;7;21;19;20;22;8
32;0;1;2;12;5;3;4;6;9;14;13;15;11;18;16;17;10;7;21;19;20;22;8
33;0;1;2;12;5;3;4;6;9;14;13;15;11;18;16;17;10;7;21;19;20;22;8
34;0;1;2;13;5;3;4;6;9;14;12;15;11;18;16;17;10;7;21;19;20;22;8
35;0;1;2;13;5;3;4;6;9;14;12;15;11;18;16;17;10;7;21;19;20;22;8
36;0;1;2;13;5;3;4;6;11;14;12;15;10;18;16;17;9;7;21;19;20;22;8
37;0;1;2;13;5;3;4;6;11;16;12;14;10;18;15;17;9;7;21;19;20;22;8
38;0;1;2;13;5;3;4;6;11;15;12;17;10;18;14;16;9;7;21;19;20;22;8
39;0;1;2;15;5;3;4;6;11;14;12;17;10;18;13;16;9;7;21;19;20;22;8
40;0;1;2;15;5;3;4;6;10;14;11;17;9;18;13;16;12;7;21;19;20;22;8
41;0;1;2;15;5;4;3;6;9;14;10;17;8;18;13;16;12;7;21;19;20;22;11
42;0;1;2;15;5;4;3;6;8;14;9;17;12;18;13;16;11;7;21;19;20;22;10
43;0;1;2;15;5;4;3;6;8;14;9;17;12;18;13;16;11;7;21;19;20;ab;10
44;0;1;2;15;5;4;3;6;8;14;9;17;12;18;13;16;11;7;21;19;20;ab;10
45;0;1;2;14;5;4;3;6;8;ab;9;16;12;17;13;15;11;7;20;18;19;ab;10
46;0;1;2;14;5;4;3;6;8;ab;9;16;12;17;13;15;11;7;20;18;19;ab;10
47;0;1;2;14;5;4;3;6;8;ab;9;16;12;17;13;15;11;7;20;18;19;ab;10
48;0;1;2;14;5;4;3;6;8;ab;9;16;12;17;13;15;11;7;20;18;19;ab;10
49;0;1;2;14;5;4;3;6;8;ab;9;16;12;17;13;15;11;7;20;18;19;ab;10
50;0;1;2;14;5;4;3;6;8;ab;9;16;12;17;13;15;11;7;20;18;19;ab;10
51;0;1;2;14;5;4;3;6;8;ab;9;16;12;17;13;15;10;7;20;18;19;ab;11
52;0;1;2;14;5;4;3;6;8;ab;9;16;11;17;12;15;10;7;20;18;19;ab;13
53;0;1;2;14;5;4;3;6;8;ab;9;16;11;17;12;15;10;7;20;18;19;ab;13
54;0;1;2;14;5;4;3;6;8;ab;9;16;11;17;12;15;10;7;20;18;19;ab;13
55;0;1;2;14;5;4;3;6;8;ab;9;16;11;17;12;15;10;7;19;18;20;ab;13
56;0;1;2;14;5;4;3;6;8;ab;9;16;11;17;12;15;10;7;19;18;20;ab;13
57;0;1;2;14;5;4;3;6;8;ab;9;16;11;17;12;15;10;7;19;18;20;ab;13
58;0;1;2;14;5;4;3;6;8;ab;9;16;11;17;12;15;10;7;19;18;20;ab;13
59;0;1;2;14;5;4;3;6;8;ab;9;16;11;17;12;15;10;7;19;18;20;ab;13
60;0;1;2;14;5;4;3;6;10;ab;8;15;11;17;12;16;9;7;19;18;20;ab;13
61;0;1;2;14;5;4;3;6;10;ab;8;15;11;17;12;16;9;7;19;18;20;ab;13
62;0;1;3;14;5;4;2;6;10;ab;8;15;11;17;12;16;9;7;19;18;20;ab;13
