;sc;ALO;RAI;MSC;MAS;FIS;BAR;RSC;MON;HEI;VIL;COU;ROS;LIU;KLI;SPE;MTR;WEB;ALB;BUT;MTG;SAT;TRU
0;0;1;2;3;4;5;8;ab;7;6;10;11;9;12;15;20;16;ab;17;14;19;18;13
1;1;1;2;3;4;5;7;ab;8;6;10;11;9;12;15;ab;16;ab;17;14;19;18;13
2;1;1;2;3;4;5;7;ab;8;6;10;11;9;12;15;ab;16;ab;17;14;19;18;13
3;0;1;2;3;4;5;8;ab;7;6;10;11;9;12;15;ab;16;ab;17;14;19;18;13
4;0;1;2;3;4;5;8;ab;7;6;10;11;9;12;15;ab;16;ab;17;13;19;18;14
5;0;1;2;3;4;5;8;ab;7;6;10;11;9;14;15;ab;16;ab;17;12;19;18;13
6;0;1;2;3;4;5;8;ab;7;6;10;11;9;14;15;ab;16;ab;17;12;19;18;13
7;0;1;2;3;4;5;8;ab;7;6;10;11;9;14;15;ab;16;ab;17;12;19;18;13
8;0;1;2;3;4;5;8;ab;7;6;10;11;9;13;14;ab;15;ab;16;ab;18;17;12
9;0;1;2;3;4;5;8;ab;7;6;10;11;9;13;14;ab;15;ab;16;ab;18;17;12
10;0;1;2;3;4;5;8;ab;7;6;10;11;9;13;14;ab;15;ab;16;ab;18;17;12
11;0;1;2;3;4;5;8;ab;7;6;10;11;9;13;14;ab;15;ab;16;ab;18;17;12
12;0;1;2;3;4;5;8;ab;7;6;10;11;9;13;14;ab;15;ab;16;ab;18;17;12
13;0;1;2;3;4;5;8;ab;7;6;10;11;9;13;14;ab;15;ab;16;ab;18;17;12
14;0;1;2;3;4;5;8;ab;7;6;10;11;9;13;14;ab;15;ab;16;ab;18;17;12
15;0;1;2;3;4;5;8;ab;7;6;10;11;9;13;14;ab;15;ab;16;ab;18;17;12
16;0;1;2;3;4;5;8;ab;7;6;10;11;9;13;14;ab;15;ab;16;ab;18;17;12
