;sc;VET;BUT;WEB;ALO;MSC;MAS;ROS;MAL;HAM;PET;BAR;KOB;DRE;SUT;HEI;BUE;KOV;TRU;ALG;GLO;DAM;KAR;LIU
0;0;1;2;4;3;9;6;5;7;10;8;11;13;12;14;15;16;19;17;18;20;21;22;23
1;0;1;2;4;3;9;6;5;7;10;8;11;13;12;14;15;16;19;17;18;20;21;22;23
2;0;1;2;4;3;9;6;5;7;10;8;11;13;12;14;15;16;19;17;18;20;21;22;23
3;0;1;2;4;3;9;6;5;7;10;8;11;13;12;14;15;16;19;17;18;20;21;22;23
4;0;1;2;4;3;9;6;5;7;10;8;11;13;12;14;15;16;19;17;18;20;21;22;23
5;0;1;2;4;3;9;6;5;7;10;8;11;13;12;14;15;16;19;17;18;20;21;22;23
6;0;1;2;4;3;9;6;5;7;10;8;11;13;12;14;15;16;19;17;18;20;21;22;23
7;0;1;2;4;3;9;6;5;7;10;8;11;13;12;14;15;16;19;17;18;20;21;22;23
8;0;1;2;4;3;9;6;5;7;10;8;11;13;12;14;15;16;19;17;18;20;21;22;23
9;0;1;2;4;3;10;6;5;7;9;8;11;13;12;14;15;16;19;17;18;20;21;22;23
10;0;1;2;4;3;10;6;5;7;9;8;11;13;12;14;15;16;19;17;18;20;21;22;23
11;0;1;2;4;3;21;6;5;7;9;8;10;12;11;13;14;15;18;16;17;19;20;22;23
12;0;1;2;4;3;21;6;5;7;9;8;10;12;11;13;14;15;18;16;17;19;20;22;23
13;0;1;2;4;3;21;5;7;6;9;8;10;12;11;13;14;15;18;16;17;19;20;22;23
14;0;1;4;3;2;21;5;18;6;8;7;9;11;10;12;13;14;17;15;16;19;20;22;23
15;0;2;3;14;1;21;4;19;5;7;6;8;10;9;11;12;13;17;15;16;18;20;22;23
16;0;3;1;14;2;20;4;19;5;7;6;8;10;9;11;12;13;17;15;16;18;21;22;23
17;0;2;1;14;3;20;4;19;5;7;6;8;10;9;11;12;13;17;15;16;18;21;22;23
18;0;2;1;14;3;19;4;18;5;7;6;8;10;9;11;12;13;21;15;16;17;20;22;23
19;0;2;1;13;3;19;4;18;5;7;6;8;9;16;10;11;12;21;14;15;17;20;22;23
20;0;2;1;13;3;19;4;18;5;7;6;8;9;16;10;11;12;21;14;15;17;20;22;23
21;0;2;1;12;3;18;4;17;5;13;6;7;8;16;9;10;11;20;14;15;21;19;22;23
22;0;2;1;12;3;18;4;17;5;14;6;7;8;16;9;10;11;20;13;15;21;19;22;23
23;0;2;1;12;3;17;4;16;5;13;6;7;8;14;9;10;11;20;18;15;21;19;22;23
24;0;2;1;11;3;17;4;16;13;12;5;6;7;14;8;9;10;20;18;15;21;19;23;22
25;0;2;1;11;3;17;9;16;13;12;4;5;6;14;7;8;10;20;18;15;21;19;23;22
26;0;2;1;10;3;16;11;15;13;12;4;5;6;17;7;8;9;19;18;14;21;20;23;22
27;0;2;1;9;3;16;10;15;12;11;13;4;5;17;6;7;8;19;18;14;20;21;23;22
28;0;2;1;9;3;14;10;15;12;11;13;4;5;16;6;7;8;19;18;17;20;21;23;22
29;0;2;1;9;3;14;10;15;12;11;13;4;5;16;6;7;8;19;18;17;20;21;23;22
30;0;2;1;9;3;14;10;15;12;11;13;4;5;16;6;7;8;19;18;17;ab;20;22;21
31;0;2;1;8;3;14;9;15;11;10;12;13;4;20;5;6;7;18;17;16;ab;19;22;21
32;0;1;3;6;2;ab;ab;14;8;7;9;12;4;18;5;10;11;16;15;13;ab;17;20;19
