;sc;BOT;HAM;VER;PER;SAI;OCO;NOR;LEC;GAS;VET;RUS;GIO;ALO;TSU;RAI;RIC;STR;LAT;MSC;MAZ
0;0;1;2;3;5;4;7;6;8;9;10;11;12;15;16;13;14;17;18;19;20
1;1;1;2;3;5;4;7;6;8;9;10;11;12;14;15;ab;13;16;17;18;19
2;1;1;2;3;5;4;7;6;8;9;10;11;12;14;15;ab;13;16;17;18;19
3;1;1;2;3;5;4;7;6;8;9;10;11;12;14;15;ab;13;16;17;18;19
4;1;1;2;3;5;4;7;6;8;9;10;11;12;14;15;ab;13;16;17;18;19
5;1;1;2;3;5;4;7;6;8;9;10;11;12;14;15;ab;13;16;17;18;19
6;0;1;3;2;5;6;8;4;7;9;10;14;12;13;16;ab;11;15;17;19;18
7;0;1;3;2;5;6;8;4;7;9;10;15;12;13;16;ab;11;14;17;18;19
8;0;1;3;2;5;6;8;4;7;9;10;15;12;13;16;ab;11;14;17;18;19
9;0;1;3;2;5;6;8;4;7;9;10;15;12;13;16;ab;11;14;17;18;19
10;0;1;2;3;5;6;8;4;7;9;10;15;12;13;16;ab;11;14;17;18;19
11;0;1;2;3;5;6;8;4;7;9;10;15;12;13;16;ab;11;14;17;18;19
12;0;1;2;3;5;6;8;4;7;9;10;15;12;13;16;ab;11;14;17;18;19
13;0;1;2;3;5;6;8;4;7;9;10;16;12;13;15;ab;11;14;17;18;19
14;0;1;2;3;4;6;8;5;7;9;10;16;12;13;15;ab;11;14;17;18;19
15;0;1;2;3;4;6;8;5;7;9;10;16;12;13;15;ab;11;14;17;18;19
16;0;1;2;3;4;6;8;5;7;9;10;16;12;13;15;ab;11;14;17;18;19
17;0;1;2;3;4;6;8;5;7;9;11;16;12;13;15;ab;10;14;17;18;19
18;0;1;2;3;4;6;8;5;7;9;11;16;12;13;15;ab;10;14;17;18;19
19;0;2;1;3;4;6;8;5;7;9;11;16;12;13;15;ab;10;14;17;18;19
20;0;2;1;3;4;7;8;5;6;9;11;16;12;13;15;ab;10;14;17;18;19
21;0;2;1;3;4;15;9;5;6;7;11;14;13;10;19;ab;8;12;16;17;18
22;0;2;1;3;4;11;14;10;5;6;16;12;17;8;19;ab;7;9;13;15;18
23;0;2;1;3;4;11;13;10;5;7;15;12;17;8;19;ab;6;9;16;14;18
24;0;2;1;3;4;10;13;9;5;12;14;11;16;7;18;ab;6;8;19;15;17
25;0;2;1;3;4;9;12;8;10;11;14;13;16;6;18;ab;5;7;19;15;17
26;0;2;1;3;4;9;12;8;10;11;13;14;15;6;18;ab;5;7;19;16;17
27;0;2;1;3;4;9;12;8;10;11;13;16;14;6;17;ab;5;7;19;15;18
28;0;2;1;3;4;9;12;8;10;11;13;18;14;6;16;ab;5;7;19;15;17
29;0;2;1;3;4;9;12;8;10;11;13;19;14;6;16;ab;5;7;18;15;17
30;0;2;1;3;4;9;12;8;10;11;13;19;14;6;16;ab;5;7;18;15;17
31;0;2;1;3;4;9;12;8;10;11;13;18;14;6;16;ab;5;7;17;15;19
32;0;2;1;3;4;9;12;8;10;11;13;17;14;6;15;ab;5;7;16;18;19
33;0;2;1;3;4;9;11;8;10;12;13;17;14;6;15;ab;5;7;16;18;19
34;0;2;1;3;4;9;11;8;10;12;13;17;14;6;15;ab;5;7;16;18;19
35;0;2;1;4;3;9;11;8;10;12;13;16;14;6;15;ab;5;7;17;18;19
36;0;4;1;3;2;10;11;8;9;12;13;16;14;6;15;ab;5;7;17;18;19
37;0;4;2;3;1;10;11;8;9;12;13;16;14;6;15;ab;5;7;17;18;19
38;0;4;2;3;1;10;11;8;9;12;13;16;14;6;15;ab;5;7;17;18;19
39;0;4;2;3;1;9;10;7;8;11;12;16;13;6;15;ab;5;14;17;18;19
40;0;4;2;3;1;8;9;6;7;10;12;16;13;11;15;ab;5;14;17;18;19
41;0;4;2;3;1;7;8;5;6;9;12;16;13;11;15;ab;10;14;17;18;19
42;0;4;2;3;1;7;8;5;6;9;12;16;13;11;15;ab;10;14;17;18;19
43;0;4;2;3;1;8;7;5;6;9;12;16;13;11;15;ab;10;14;17;18;19
44;0;4;2;3;1;8;7;5;6;9;12;16;13;11;15;ab;10;14;17;18;19
45;0;4;2;3;1;8;7;5;6;9;12;16;13;11;15;ab;10;14;17;18;19
46;0;4;2;3;1;8;7;5;6;9;12;16;13;11;15;ab;10;14;17;18;19
47;0;4;2;3;1;8;7;5;6;10;12;16;13;11;15;ab;9;14;17;18;19
48;0;4;2;3;1;8;7;5;6;11;12;16;13;10;15;ab;9;14;17;18;19
49;0;4;2;3;1;8;7;5;6;11;12;16;13;10;15;ab;9;14;17;18;19
50;0;3;1;2;4;8;7;5;6;11;12;16;13;9;15;ab;10;14;17;18;19
51;0;3;1;2;4;8;7;5;6;11;12;16;13;9;15;ab;10;14;17;18;19
52;0;3;1;2;4;8;7;5;6;11;12;16;13;9;15;ab;10;14;17;18;19
53;0;3;1;2;4;8;7;5;6;11;12;16;13;9;15;ab;10;14;17;18;19
54;0;3;1;2;4;8;7;5;6;11;12;16;13;9;15;ab;10;14;17;18;19
55;0;3;1;2;4;8;7;5;6;11;13;16;12;9;15;ab;10;14;17;18;19
56;0;3;1;2;4;8;7;5;6;11;13;16;12;9;15;ab;10;14;17;18;19
57;0;3;1;2;4;9;7;5;6;11;13;16;12;8;15;ab;10;14;17;18;19
58;0;3;1;2;4;9;7;5;6;11;14;16;12;8;15;ab;10;13;17;18;19
59;0;3;1;2;4;9;7;5;6;11;14;16;12;8;15;ab;10;13;17;18;19
60;0;3;1;2;4;9;7;5;6;11;14;16;12;8;15;ab;10;13;18;17;19
61;0;3;1;2;4;9;7;5;6;11;14;16;12;8;15;ab;10;13;18;17;19
