;sc;STR;VER;PER;ALB;RIC;HAM;OCO;RAI;BOT;GIO;VET;LEC;MAG;NOR;SAI;KVY;GRO;LAT;GAS;RUS
0;0;1;4;2;5;7;6;19;8;18;11;3;14;10;15;9;12;16;20;13;17
1;0;1;4;2;5;7;6;20;8;17;11;3;14;10;15;9;12;16;19;13;18
2;0;1;4;2;5;7;6;19;8;16;11;3;14;10;15;9;12;17;20;13;18
3;0;1;4;2;5;7;6;19;8;16;11;3;14;10;15;9;12;17;20;13;18
4;0;1;4;2;5;7;6;19;9;16;11;3;14;10;15;8;12;17;20;13;18
5;0;1;4;2;5;7;6;19;9;16;11;3;14;10;15;8;12;17;20;13;18
6;0;1;4;2;5;7;6;18;9;15;11;3;19;10;14;8;12;16;20;13;17
7;0;1;4;2;5;7;6;18;9;19;11;3;17;10;13;8;14;15;20;12;16
8;0;1;3;2;4;5;8;15;12;16;17;7;13;11;10;6;18;19;20;9;14
9;0;4;2;1;3;5;8;16;11;14;17;7;12;10;15;6;18;19;20;9;13
10;0;3;1;4;2;7;6;19;11;13;16;5;10;9;14;8;17;18;20;15;12
11;0;2;4;3;1;7;6;18;13;12;ab;5;10;9;14;8;16;17;19;15;11
12;1;1;3;2;6;7;5;18;13;12;ab;4;9;10;14;8;16;17;19;15;11
13;1;1;3;2;6;7;5;17;13;12;ab;4;9;10;14;8;16;18;19;15;11
14;0;1;3;2;5;7;6;17;12;14;ab;4;9;10;13;8;16;18;19;15;11
15;0;1;3;2;4;7;6;17;13;15;ab;5;9;10;12;8;16;18;19;14;11
16;0;1;3;2;4;7;6;16;13;15;ab;5;9;10;12;8;17;18;19;14;11
17;0;1;6;2;3;7;5;16;13;15;ab;4;9;10;12;8;17;18;19;14;11
18;0;1;8;2;3;6;5;16;13;15;ab;4;9;10;12;7;17;18;19;14;11
19;0;1;8;2;3;6;5;16;13;15;ab;4;9;10;12;7;17;18;19;14;11
20;0;1;8;2;3;6;5;15;13;17;ab;4;9;10;12;7;16;18;19;14;11
21;0;1;8;2;3;6;5;15;13;17;ab;4;9;10;12;7;16;18;19;14;11
22;0;1;8;2;3;6;5;15;13;17;ab;4;9;10;12;7;16;18;19;14;11
23;0;1;8;2;3;6;5;15;13;17;ab;4;9;10;11;7;16;18;19;14;12
24;0;1;8;2;3;6;5;15;13;17;ab;4;9;10;11;7;16;18;19;14;12
25;0;1;8;2;3;6;5;15;13;17;ab;4;9;10;11;7;16;18;19;14;12
26;0;1;8;2;3;6;5;15;13;17;ab;4;9;11;10;7;16;18;19;14;12
27;0;1;8;2;3;6;5;15;13;17;ab;4;9;11;10;7;16;18;19;14;12
28;0;1;8;2;3;6;5;15;14;17;ab;4;9;11;10;7;16;18;19;13;12
29;0;1;8;2;3;6;5;15;14;17;ab;4;9;11;10;7;16;18;19;13;12
30;0;1;8;2;3;6;5;14;17;16;ab;4;9;11;10;7;15;18;19;13;12
31;0;1;7;2;3;8;5;14;17;16;ab;4;9;11;10;6;15;18;19;12;13
32;0;1;7;2;3;9;4;13;17;15;ab;5;8;11;10;6;14;18;19;12;16
33;0;1;5;2;4;9;3;12;17;14;ab;6;7;11;10;8;13;18;19;16;15
34;0;1;4;2;6;9;3;11;16;13;ab;5;7;18;10;8;12;17;19;15;14
35;0;2;4;1;6;9;3;11;16;13;ab;5;7;18;10;8;12;17;19;14;15
36;0;4;3;2;6;9;1;11;16;13;ab;5;7;18;10;8;12;17;19;14;15
37;0;4;3;2;6;9;1;11;16;13;ab;5;7;18;10;8;12;17;19;14;15
38;0;6;3;2;7;9;1;11;15;13;ab;4;5;18;10;8;12;17;19;14;16
39;0;7;3;2;6;9;1;11;15;13;ab;5;4;18;10;8;12;17;ab;14;16
40;0;8;3;2;6;9;1;11;15;13;ab;5;4;18;10;7;12;17;ab;14;16
41;0;8;3;2;6;9;1;11;15;13;ab;5;4;18;10;7;12;17;ab;14;16
42;0;8;4;2;6;9;1;11;15;13;ab;5;3;18;10;7;12;17;ab;14;16
43;0;8;7;2;6;9;1;11;15;13;ab;4;3;18;10;5;12;17;ab;14;16
44;0;8;7;2;6;9;1;11;15;13;ab;4;3;18;10;5;12;17;ab;14;16
45;0;8;7;2;6;9;1;11;15;14;ab;4;3;18;10;5;12;17;ab;13;16
46;0;8;7;2;6;9;1;11;14;15;ab;4;3;18;10;5;12;17;ab;13;16
47;0;8;7;2;6;10;1;11;14;15;ab;4;3;18;9;5;12;17;ab;13;16
48;0;8;7;2;6;10;1;11;15;14;ab;4;3;18;9;5;12;17;ab;13;16
49;0;8;7;2;6;10;1;11;15;14;ab;4;3;17;9;5;12;ab;ab;13;16
50;0;8;7;2;6;10;1;11;15;14;ab;4;3;17;9;5;12;ab;ab;13;16
51;0;8;6;2;7;10;1;11;15;14;ab;4;3;17;9;5;12;ab;ab;13;16
52;0;8;6;2;7;10;1;11;15;14;ab;4;3;17;9;5;12;ab;ab;13;16
53;0;8;6;2;7;10;1;11;15;14;ab;4;3;17;9;5;12;ab;ab;13;16
54;0;8;6;2;7;10;1;11;15;14;ab;4;3;17;9;5;12;ab;ab;13;16
55;0;9;6;2;7;10;1;11;15;14;ab;4;3;17;8;5;12;ab;ab;13;16
56;0;9;6;2;7;10;1;11;15;14;ab;4;3;17;8;5;12;ab;ab;13;16
57;0;9;6;2;7;10;1;11;15;14;ab;3;4;17;8;5;12;ab;ab;13;16
