;sc;HAM;VET;ROS;RAI;BOT;MAS;RIC;HUL;SAI;GRO;PER;NAS;ERI;ALO;VER;MAL;KVY;STE;MER;BUT
0;0;1;2;4;3;5;17;6;8;10;7;11;12;9;13;14;16;15;19;18;np
1;0;1;2;4;3;5;16;6;8;10;7;11;12;9;13;14;15;17;19;18;np
2;0;1;2;4;3;5;16;6;8;10;7;11;12;9;13;14;15;17;19;18;np
3;0;1;2;3;4;5;15;6;8;10;7;11;12;9;13;14;16;17;19;18;np
4;0;1;2;3;4;5;14;6;8;10;7;11;12;9;13;15;16;17;19;18;np
5;0;1;2;3;4;5;14;6;8;10;7;11;12;9;13;17;15;16;18;19;np
6;0;1;2;3;4;5;13;6;8;10;7;11;12;9;14;19;15;16;17;18;np
7;0;1;2;3;4;5;13;6;8;10;7;11;12;9;14;19;15;16;17;18;np
8;0;1;3;2;4;5;13;6;8;11;7;10;12;9;14;19;15;16;17;18;np
9;0;1;3;2;4;5;15;6;9;11;7;10;14;8;12;19;16;13;17;18;np
10;0;1;3;2;4;5;14;6;13;12;7;8;15;9;10;19;17;11;16;18;np
11;0;1;3;2;4;5;13;6;11;17;7;8;14;12;10;18;15;9;16;19;np
12;0;1;4;2;3;5;13;6;10;16;11;7;14;12;9;18;15;8;17;19;np
13;0;1;6;2;3;4;12;5;10;16;9;7;13;11;15;17;14;8;18;19;np
14;0;1;3;4;2;6;12;7;11;16;9;5;13;10;15;17;14;8;18;19;np
15;0;2;4;3;1;6;11;7;10;15;8;5;12;9;14;17;13;16;18;19;np
16;0;2;4;3;1;5;11;6;10;16;8;7;12;9;14;17;13;15;18;19;np
17;0;1;3;2;4;5;10;6;9;16;7;13;11;8;15;17;12;14;18;19;np
18;0;1;3;2;4;5;10;6;9;16;7;13;11;8;15;17;12;14;18;19;np
19;0;1;3;2;4;5;10;6;9;16;7;13;11;8;15;17;12;14;18;19;np
20;0;1;3;2;4;5;10;6;9;16;7;13;11;8;15;17;12;14;18;19;np
21;0;1;3;2;4;5;10;6;9;16;7;13;11;8;15;17;12;14;18;19;np
22;0;1;3;2;4;5;10;6;9;16;7;13;11;8;15;17;12;14;18;19;np
23;0;1;3;2;4;5;12;6;9;16;7;10;11;8;15;17;13;14;18;19;np
24;0;1;3;2;4;5;15;6;10;13;7;9;16;8;12;17;14;11;18;19;np
25;0;1;3;2;4;5;14;6;13;11;7;8;15;17;10;16;12;9;18;19;np
26;0;1;3;2;4;5;13;6;12;14;7;8;15;17;11;16;10;9;18;19;np
27;0;1;3;2;4;5;13;6;12;15;7;8;14;16;11;17;10;9;18;19;np
28;0;1;3;2;4;5;13;6;11;15;7;8;14;16;12;17;10;9;18;19;np
29;0;1;3;2;4;5;12;6;11;ab;7;8;14;15;13;16;10;9;17;18;np
30;0;1;3;2;4;5;12;6;11;ab;7;8;13;15;14;16;10;9;17;18;np
31;0;1;3;2;4;5;12;6;11;ab;10;7;13;15;14;16;9;8;17;18;np
32;0;1;4;2;3;5;11;6;12;ab;10;7;13;15;14;16;9;8;17;18;np
33;0;3;4;1;2;6;11;5;13;ab;9;7;12;15;14;16;8;10;17;18;np
34;0;2;3;4;1;6;10;5;12;ab;9;7;11;13;14;ab;8;15;16;17;np
35;0;2;4;3;1;5;10;6;12;ab;9;7;11;13;15;ab;8;14;16;17;np
36;0;2;5;3;1;4;10;6;12;ab;8;9;11;14;15;ab;7;13;16;17;np
37;0;2;5;3;1;4;9;6;11;ab;8;12;10;15;14;ab;7;13;16;17;np
38;0;2;5;3;1;4;9;6;14;ab;8;11;10;15;13;ab;7;12;16;17;np
39;0;1;5;3;2;4;9;6;14;ab;8;10;11;15;13;ab;7;12;16;17;np
40;0;1;5;2;3;4;9;6;14;ab;7;10;12;15;13;ab;8;11;16;17;np
41;0;1;5;2;3;4;8;6;12;ab;7;9;14;13;11;ab;15;10;16;17;np
42;0;1;5;2;3;4;8;6;12;ab;7;9;14;13;11;ab;15;10;16;17;np
43;0;1;5;2;3;4;8;6;12;ab;7;9;14;13;11;ab;15;10;16;17;np
44;0;1;5;2;3;4;8;6;12;ab;7;9;14;13;11;ab;15;10;16;17;np
45;0;1;5;2;3;4;8;6;12;ab;7;9;13;14;11;ab;15;10;16;17;np
46;0;1;5;2;3;4;8;6;12;ab;7;9;13;14;11;ab;15;10;16;17;np
47;0;1;5;2;3;4;8;6;12;ab;7;9;13;14;11;ab;15;10;16;17;np
48;0;1;5;2;3;4;8;6;12;ab;7;9;13;14;11;ab;15;10;16;17;np
49;0;1;5;2;3;4;9;6;13;ab;7;8;12;14;11;ab;15;10;16;17;np
50;0;1;5;2;3;4;9;6;13;ab;7;8;12;14;11;ab;15;10;16;17;np
51;0;1;5;2;3;4;9;6;13;ab;7;8;12;14;11;ab;15;10;16;17;np
52;0;1;5;2;3;4;9;6;13;ab;7;8;12;14;11;ab;15;10;16;17;np
53;0;1;5;2;3;4;10;6;13;ab;7;8;12;14;11;ab;15;9;16;17;np
54;0;1;5;2;3;4;10;6;13;ab;7;8;12;14;11;ab;15;9;16;17;np
55;0;1;5;3;2;4;10;6;13;ab;7;8;12;14;11;ab;15;9;16;17;np
56;0;1;5;3;2;4;10;6;13;ab;7;8;12;14;11;ab;15;9;16;17;np
